user_name,user_url,rating,date,text,likes,shelves
Dave Schaafsma,https://www.goodreads.com/user/show/269235-dave-schaafsma,5,"March 16, 2019","Thanks to netgalley.com for the advance look.I like the Stones, and have seen them 2-3 times. There are probably hundreds of books about them, several in each library. Well, this is another one and like most of them it is for fans about The Greatest Rock Band of All Time (I'm not going to argue about that here). It has several prose introductions to topics, it has fan friendly photos of the band from across the decades, and 21 short comics about different topics, in different styles. Maybe because I am reading Catherine Ingram's I Am series of illustrated board books about artists, written as entertaining and substantive introductions to Great Artists, I was led to reflect on the difference between a puff piece for fans and a biography that doesn't deify, that admits the complications and contradictions of the artists being explored. The aesthetic of the Ceka book is jarring, jumping from photo to prose text to comics. Some of the comics do talk about interesting topics, if you are fan--as with the Fifth Beatle story, there is a little bit here about a fifth Stone piano player--but the overall sense is not of a beautiful interesting book but a series of disconnected factoids and perspectives. Which is fine, just not my cuppa. But I think if you are a true fan and if you are in the comics section of your library, you might want to check this out.",20,"['gn-bio', 'gn-music', 'non-fiction']"
Dave,https://www.goodreads.com/user/show/35045983-dave,5,"February 15, 2019","NBM Publishing is in the process of putting out a series of music star biography/ coffee table book/ comic strips. Some others feature the Beatles, Elvis and Billie Holliday. Of course, such a series would not be complete without a tribute to the World's Greatest Rock n Roll band: Ladies and Gentlemen, The Rolling Stones! Chapters alternate between biographical stories and comic art by a variety of artists in a variety of styles, perhaps fitting because along with lunch boxes and T-shirts all kinds of rock paraphernalia were put out back in the day. What was really interesting to me at least was how little of the Stones story I was familiar with though I know ever riff and every lyric. To be honest, it's only a taste of the Stones and, if you are looking for a more in depth treatment of either their catalog or their biographies, there are plenty of other sources. But, the bottom line is that this book is just plain fun to thumb through (even though I'm thumbing digital pages).",14,"['graphic-novels', 'music-books', 'read-have']"
Bandit,https://www.goodreads.com/user/show/4528663-bandit,5,"October 6, 2021","Céka did a lamentable job with Michael Jackson bio, but this one was pretty decent. Which is to say I learned a lot about the band. These are such strange books, they appear as graphic novels, but content wise they are a mix of biographical essays, quotations and photographs. In fact, the graphics are just a small portion of the total, created by a variety of different artists in a variety of different styles, each one to reference some significant juncture in Rolling Stones’ life. Because of the variety, some of this comic art entries land nicer than others. Some veer too far into cartoonism. Although all have fun interesting colors. This was a commemorative read, of sorts. RIP Charlie Watts. The band itself has exhibited a striking longevity, a very lively and kicking bunch of senior citizens and the book is actually from a few years ago, when Watts was still alive. Mick Jagger is pushing eighty and is still at it, not too shabby for a guy who once said he wanted to quit the business at 33. So, what do we learn from this book outside of the admiration society style biographical narrative? Well, from a modern hyperwoke perspective one can say that a bunch of Englishmen got together, appropriated a variety of black music such as blues and jazz, took a name heavily associated with black culture (slavery link, didn’t know about this at all, very interesting reference) and spun it into decades worth of musical gold, fame and fortune. But really, the more music biographies you read (or watch the cinematic adaptations of), the more you realize it’s literally the same story over and over, just with different players. The exact same curves on the narrative trajectories. Tragically predictable, but those who ride them out apparently become legends, so…who can resist. Overall, a decent book for someone who wants to learn about the band quickly, overview style. Nowhere near as much fun as a Rolling Stones concert, but you know, medium limitations.This and more at https://advancetheplot.weebly.com/",9,[]
Rod Brown,https://www.goodreads.com/user/show/23954351-rod-brown,5,"November 1, 2019","This book has the slapdash feel of a high school yearbook, but does gives an overview of the history of the Rolling Stones that kept me turning pages briskly. Between the many comic strips with a variety of artists who vary greatly in their ability to capture the likenesses of the members of the band, are a bunch of goofily written and worshipful text pieces and tons of public domain photographs.The historical rigor and editorial philosophy of the book is best summed up by this disclaimer included on the verso page: ""most of the quotes in this book are translated from the French edition, and are therefore not phrased exactly like the original quotes in English."" Isn't there a game people play with Google Translate that does this same thing for laughs? Fortunately, the translator here does a better job of covering up any truly ridiculous gaffes, but it doesn't inspire confidence as to how much of this ""history"" can truly be trusted.",5,[]
Jeff,https://www.goodreads.com/user/show/6826154-jeff,5,"January 20, 2023","Presenting the history of the Rolling Stones in the form of comics is a great idea, and for the most part, this volume tackles the job very well. Much of the narrative is actually short sections of text which introduce each of the twenty-one comics chapters, but that judicious use of prose allows the book to cover more territory than the graphics could do on their own.Most of the visual sections are by a different comics artist, and those changing visual styles work well to chart the course of changes in the world of the Stones themselves. Given that most of the comics chapters are only five or six pages in length, it's inevitable that not all of the artists have risen to the challenge of creating something notable from a short slice of the Stones biography. But there are standouts, particularly Dmitri Piot, Kyung-Eun Park, and Dominique Hennebaut.For me, the most successful chapter is Anthony Audibert's ""Performance"", which uses Mick Jaggers' role in the film of the same name to explore the free-wheeling sexuality that has always been a big part of the Stones' public persona. Audibert is a truly gifted comics stylist, and his creative approach to his topic stands out from the rather dry biographical facts that most of his peers have chosen to chronicle.",3,[]
Stewart Tame,https://www.goodreads.com/user/show/18850156-stewart-tame,5,"September 11, 2019","This took me longer to finish than I expected. It wasn't any dissatisfaction with the book on my part, but simply because I got sucked into another book--I tend to have two or three books going at a time. Anyway, I finally finished this one.Although the title is The Rolling Stones In Comics, there's actually a fair amount of text as well. The comics portion is a series of vignettes of various stages of the Stones’ career, and the text is a more conventional rock biography that's mostly there to set up the context for each vignette. This was actually a smart move because, without the text, you’d need to be something of a Stones historian to understand the significance of the events depicted in the comics. The text allows the more casual fans to also appreciate the book.Ultimately, I have kind of mixed feelings about this book. I can't deny that I enjoyed reading it, and the comics are well-crafted. But the idea that the comics are incapable of carrying the book on their own, that they need the prose sections to be comprehensible, makes me uneasy. It doesn't seem in keeping with the graphic novel spirit. I don't know. I’m probably overthinking it. In the end, it does work. The book was pretty decent, as I said.Some of that ambivalence may be from my feelings for the band themselves. I’ll admit that I'm a casual fan. I only own two of their albums, both of them “Greatest Hits” style compilations (Hot Rocks and More Hot Rocks if you must know). I think their glory days were pretty much the 60's and 70's. Everything since then has been more about the Rolling Stones as an Institution rather than a band. That said, they play as well as ever, and certainly know how to put on a show. If they want to keep recording and touring, more power to ‘em. Their fans certainly don't seem to mind. Anyway, this book was certainly readable, and even fun. I think it's possible to do better comics about the Rolling Stones, but these will certainly do. Kind of neutral as far as recommending it goes, but check it out if it sounds interesting to you.",3,[]
Joanne,https://www.goodreads.com/user/show/7099925-joanne,5,"November 20, 2021","This was a fun combo of stories, photos, and of course-comics -about The Rolling Stones. Especially intriguing to read after Sir Paul McCartney’s recent allegation that the Stones were solely a ‘blues cover band.’ According to the albeit succinct history presented in this book, that doesn’t seem like a characterization that the early Stones would disagree with; and particularly not Brian Jones, who was all about staying true to the Blues genre. Lively compendium with a variety of artists, all successful in summing up each chapter. Introduced me to some interesting blues artists and even a couple of Stones songs I didn’t know. Good fun and recommended if you’re a fan.",2,[]
Diane Hernandez,https://www.goodreads.com/user/show/20456668-diane-hernandez,5,"March 15, 2019","I love comics and the Rolling Stones (sorry Tom Petty and the Heartbreakers) so I had to read the Rolling Stones in Comics! It tells the Rolling Stones story from its humble beginnings as a R&B cover band through its last tour. It details the issues between the band members, the drugs, the deaths, the music, and the groupies. The books states that Bill Wyman was the first person to coin the term groupies. The book is full of interesting tidbits like that. The artwork is bright and clear. The book has an innovative solution to the usual problem of trying to stuff too much information in comic book speech balloons. It has a prose introduction to each chapter. Most are about three pages long and also contain pictures of the Stones at the time period referenced in the chapter. It worked for me. Overall, the Rolling Stones in Comics! Is highly recommended for Stones fans and others who want to revisit the turbulent 1960s and 70s. 4 stars!Thanks to NBM Publishing and NetGalley for a copy in exchange for an honest review.",0,['netgalley']
Trevor,https://www.goodreads.com/user/show/12234181-trevor,5,"May 14, 2019","Quick easy read, giving an overview of the Rolling Stones and their history.Alternating chapters of comic strip and story narrative which both equally enjoyable. This book is more for the person who has a casual interest, rather than the committed fan who would already know everything in the book. Never the less I think that anyone with the slightest interest in music would enjoy his book.",0,"['graphic-novels', 'ipad-to-read', 'music']"
Todd Glaeser,https://www.goodreads.com/user/show/22558702-todd-glaeser,5,"February 18, 2019",thanks to netgalley.com for the advance look,0,[]
