URL,ISBN,Goodreads ID,Title,"Author(s)/Illustrators/Other Contributors (Editors, Translators, Sources, etc.)",Categorization,Subject(s),Gender,Career Type/Known For
https://nbmpub.com/products/thoreau-a-sublime-life,9781681120256,27132988-thoreau,Thoreau: A Sublime Life,"Maximilien Le Roy, A. Dan",Biography,Henry David Thoreau,Male,"Philosopher, Naturalist"
https://nbmpub.com/products/the-rolling-stones-in-comics,9781681121987,41219524-the-rolling-stones-in-comics,The Rolling Stones in Comics,Ceka,Collective Biography,Rolling Stones,Male,Musicians
https://nbmpub.com/products/the-provocative-colette,9781681121703,36258390-the-provocative-colette,The Provocative Colette,"Annie Goetzinger, Rodolphe",Biography,Sidonie-Gabrielle Colette,Female,Author
https://nbmpub.com/products/the-beatles-in-comics,9781681121888,,The Beatles in Comics,Michels Mabel,Collective Biography,The Beatles,Male,Musicians
https://nbmpub.com/products/sartre,9781681121017,32713786-sartre,Sartre ,"Mathilde Ramadier, Anaïs Depommier",Biography,Jean Paul Sartre,Male,Philosopher
https://nbmpub.com/products/queen-in-comics,9781681123127,126121384-queen-in-comics,Queen in Comics,"Emmanuel Marie, Sophie Blitman",Collective Biography,Queen,Male,Musicians
https://nbmpub.com/products/prince-in-comics,9781681123226,194021582-prince-in-comics,Prince In Comics,"Nicholas Finet, Tony Lourenço",Biography,Prince,Male,Musicians
https://nbmpub.com/products/pink-floyd-in-comics,9781681123370,203641849-pink-floyd-in-comics,Pink Floyd in Comics,"Nicholas Finet, Tony Lourenço, Thierry Lamy",Collective Biography,Pink Floyd,Male,Musicians
https://nbmpub.com/products/phoolan-devi-rebel-queen,9781681122526,73924272-phoolan-devi,Phoolan Devi: Rebel Queen,Claire Fauvel,Biography,Phoolan Devi,Female,Bandit/Outlaw/Revolutionary
https://nbmpub.com/products/niki-de-saint-phalle-the-garden-of-secrets,9781681121581,36206207-niki-de-saint-phalle,Niki de Saint Phalle: The Garden of Secrets,"Dominique Osuch, Sandrine Martin",Biography,Niki de Saint Phalle,Female,Artist
https://nbmpub.com/products/michael-jackson-in-comics,9781681122281,45180626-michael-jackson-in-comics,Michael Jackson in Comics,Ceka,Biography,Michael Jackson,Male,Musician
https://nbmpub.com/products/marie-antoinette-phantom-queen,9781681120294,27219916-marie-antoinette-phantom-queen,Marie Antoinette: Phantom Queen,"""Rodolphe"", Annie Goetzinger",Semi-Fictional,Marie Antoinette,Female,French Monarchy
https://nbmpub.com/products/leonardo-da-vinci-the-renaissance-of-the-world,9781681122595,53171661-leonardo-da-vinci,Leonardo Da Vinci & The Renaissance of The World ,"Marwan Kahil, Ariel Vittori",Biography,Leonardo Da Vinci,Male,Inventor/Engineer
https://nbmpub.com/products/glenn-gould-a-life-off-tempo,9781681120652,29501178-glenn-gould,Glenn Gould: A Life Off Tempo,Sandrine Revel,Biography,Glenn Gould,Male,Musician
https://nbmpub.com/products/fists-raised-10-stories-of-sports-star-activists,9781681123035,60500409-fists-raised,Fists Raised: 10 Stories of Sports Star Activists,"Karim Nedjari, Chloé Célérien",Collective Biography,Various,Mixed,Athletes
https://nbmpub.com/products/erased,9781681123387,199598456-erased,Erased: A Black Actor's Journey through the Glory Days of Hollywood,"Loo Hui Phang, Hugues Micol",Biography,Maximus Wyld,Male,Actor
https://nbmpub.com/products/elvis,9781681120768,29501179-elvis,Elvis,"Philippe Chanoinat, Fabrice Le Henanff",Biography,Elvis Presley,Male,Musician
https://nbmpub.com/products/degas-cassatt,9781681123240,178811173-degas-cassatt,Degas & Cassatt,"Salva Rubio, ""Efa""",Collective Biography,Degas & Cassatt,Mixed,Painters
https://nbmpub.com/products/david-bowie-in-comics,9781681122984,59485970-david-bowie-in-comics,David Bowie In Comics,"Thierry Lamy, Nicolas Finet",Biography,David Bowie,Male,Musician
https://nbmpub.com/products/bob-marley-in-comics,9781681122496,44661259-bob-marley-in-comics,Bob Marley in Comics,"""Gaet's"", Sophie Blitman",Biography,Bob Marley,Male,Musician
https://nbmpub.com/products/billie-holliday,9781681120935,32713508-billie-holiday,Billie Holiday,"Carlos Sampayo, José Muñoz",Biography,Billie Holliday,Female,Musician
https://nbmpub.com/products/alfred-hitchcock-master-of-suspense,9781681122892,58320999-alfred-hitchcock,Alfred Hitchcock: Master Of Suspense,"Noel Simsolo, Dominique He",Biography,Alfred Hitchcock,Male,Filmmaker
https://nbmpub.com/products/django-hand-on-fire-the-great-django-reinhardt,9781681122878,58480576-django-hand-on-fire,"Django, Hand On Fire: The Great Django Reinhardt","Salva Rubio, Ricard Fernandez",Biography,Django Reinhardt,Male,Musician
https://nbmpub.com/products/rodin,9781681122410,45180609-rodin,Rodin,"Joel Alessandra, Eddy Simon",Biography,Auguste Rodin,Male,Sculptor
https://nbmpub.com/products/love-me-please-the-story-of-janis-joplin,9781681122762,54852191-love-me-please,Love Me Please: The Story of Janis Joplin,"Nicholas Finet, Christopher, Gilbert Shelton",Biography,Janis Joplin,Female,Musician
https://nbmpub.com/products/rosa-parks,9781681122915,58321000-rosa-parks,Rosa Parks,"Matteo Mancini, Mariapaola Pesce",Biography,Rosa Parks,Female,Civil Rights Activist
https://nbmpub.com/products/monet-itinerant-of-light,9781681121390,34734476-monet,Monet: Itinerant Of Light,"Salva Rubio, Ricard Fernandez",Biography,Oscar-Claude Monet,Male,Artist
https://nbmpub.com/products/nina-simone-in-comics,9781681123264,178810963-nina-simone-in-comics,Nina Simone In Comics!,Sophie Adriansen,Biography,Nina Simone,Female,"Musician, Civil Rights Activist"
https://nbmpub.com/products/philip-k-dick-a-comics-biography,9781681121918,39830626-philip-k-dick,Philip K. Dick,"Laurent Queyssi, Mauro Marchesi",Biography,Philip K. Dick,Male,Author
https://nbmpub.com/products/mingus,9781681123097,62997519-mingus,Mingus,"Flavio Massaruto, Squaz",Biography,Charles Mingus,Male,Musician
https://nbmpub.com/products/willie-nelson-a-graphic-biography,9781681122625,51074726-willie-nelson,Willie Nelson: A Graphic History,"T.J. Kirsch, Havard S. Johansen, Coskun Kuzgun",Biography,Willie Nelson,Male,Musician
https://nbmpub.com/products/albert-einstein-the-poetry-of-real?_pos=1&_sid=d782101c1&_ss=r,9781681122021,43253239-albert-einstein,Albert Einstein: The Poetry of Real,"Marwan Kahil, Manuel Garcia Iglesias",Biography,Albert Einstein,Male,Physicist
