user_name,user_url,rating,date,text,likes,shelves
Dave Schaafsma,https://www.goodreads.com/user/show/269235-dave-schaafsma,4,"August 16, 2017","Thoreau: A Sublime Life is a short, evocative comics biography by French team, writer Maximilien Roy and A. Dan (Daniel Alexandre). It’s not a mere chronological biography—it’s too short for that—but even it were twice the length they wouldn't have been interested in that. What they want to do is create a comics portrait of Thoreau through images and ideas, snapshots more than film, poetic images more than an in-depth philosophical biography. It’s their image of Thoreau. I know Thoreau’s work, or did, and I bet most of you are familiar with him and can say a few things about him. Walden, “On Civil Disobedience.” I have a picture book of him called Henry (in part because I have a son, Henry) that I like, too.This bio of Thoreau features some quotations from him with which I was unfamiliar. For instance, Thoreau taught for a short time in the Concord School. He hated the regimentation, the required discipline, so he schooled kids in his home, with his brother: “We came up with new approaches to education, outings in nature, more active participation with students, no more corporal punishment.” I’d like to know more about his approach, but we only get this glimpse. But you can build a whole educational philosophy based on that glimpse!“I just want everyone to explore their own path.”And on the environment and man’s historical ignorant rapacious use of it: “If a man walks in the woods for love of them, for half the day, he is in danger of being a loafer; but if he spends his whole day as a speculator, shearing off those woods, and making the earth bald before her time, he is esteemed an industrious and enterprising citizen.”“Wanting to be famous means wanting to be contaminated.”He read as deeply into Buddhism and Hinduism as Christianity. “The Brahmins understood that possessions end up possessing us.”Thoreau was more spiritual than political, in general, though he was adamantaly opposed to slavery, he hated the US-Mexican War, and he wouldn’t pay taxes to a government that thrived from such activities. He was also an anarchist of sorts, who preferred the road less travelled and improvisation to authoritarian structures. He was an ecologist, and environmentalist, and we need him again, as always.Michael Granger’s short essay on Thoreau completes the book, which I liked very much. The art from A. Dan, who studied biology and ecology, is great.",33,"['environment', 'gn-bio', 'philosophy']"
George Ilsley,https://www.goodreads.com/user/show/4003368-george-ilsley,3,"December 14, 2022","First, this was originally produced in French. It's interesting how many biographical graphic novels are produced in Europe about cultural figures in the U.S. — and they do such a good job of it.Thoreau is a writer who is often romanticized, and this book does not avoid that tendency. The essay at the end, by Professor Michel Granger, provides more insight and background. The famous cabin on Walden's Pond, for instance, is usually described as ""secluded"" but was only a few miles from the family home—the essay does mention that, but when Thoreau is portrayed as living a life of freedom and independence at his cabin, it goes unsaid that his mother and sisters were delivering meals and doing his laundry. So much for living outside the structures of society.Thoreau remains a huge influence for his idealistic approach to nature and living in freedom and splendid isolation. Romanticizing such a writer, one who never really left his parents' home but is held up as a model of independence, gets on my nerves.The best part of this book is the essay at the end.",16,"['biography', 'graphic', 'history']"
Lauren ,https://www.goodreads.com/user/show/1291915-lauren,4,"July 21, 2016","So much more than Walden...The subtitle A Sublime Life is an apt choice here, as the book veers into hagiography on several occasions. I did appreciate the deeper context and the glimpses into other parts of Thoreau's life: his dissidence and short incarceration for not paying taxes (The money goes to slavery and wars with Mexico - why would I pay for that? he asks the police chief), his meetings with abolitionists and ties to John Brown, and more about his transcendentalist personal philosophies.John Brown's execution after Harper's Ferry raidThe book concludes with a critical essay on Thoreau, and is well worth the read.",7,"['bios-memoirs', 'graphic-sequential-art']"
Santiago L. Moreno,https://www.goodreads.com/user/show/9545654-santiago-l-moreno,4,"October 18, 2017","Quien busque profundizar en la figura de Thoreau se equivoca de obra, pero quien quiera tener un primer encuentro con este naturalista y filósofo del s. XIX y con su mensaje, va a disfrutar de un cómic interesante. En él encontrará un sucinto resumen, desarrollado en bellos dibujos, de la vida adulta de Thoreau. Los dos órdenes que hicieron notable al filósofo norteamericano están aquí representados, tanto su ideología política como su elogio de una vida retirada, de retorno a la naturaleza. Su defensa del abolicionismo -aunque activa, al margen de la violencia- fue quizás la forma en la que más directamente llevaría a la práctica la tesis por la que posteriormente sería reivindicado: la desobediencia civil. Aunque quizás, tal como muestra este cómic, su mayor rebelíon fue la de intentar llevar a cabo una vida apartada de la sociedad, el regreso a los valores primigenios de la naturaleza. Vivir la vida en sí misma, ausente de las cargas con las que la sociedad industrial y tecnológica nos marca, supone, hoy más que nunca en nuestro mundo globalizado, una revolución individual y social. Si el mensaje político de Thoreau, la rebelión contra el propio Estado que impone normas abusivas a sus ciudadanos, está más vivo que nunca, su reivindicación de otra forma de vida va quedando en manos minoritarias, minimizada por una Humanidad uniforme, más dependiente cada vez de su propia tecnología. El magnífico apartado gráfico de esta obra, hermoso en los paisajes, en las soledades de Thoreau, invita a romper con esa monotonía. A desconectarse, salir al monte y sentir el disfrute de, sencilla y llanamente, estar.Menos móviles, más Thoreau.",5,[]
BookTomas Gustafsson,https://www.goodreads.com/user/show/45409586-booktomas-gustafsson,4,"September 27, 2016","I liked this short graphic novel biography of Henry David Thoreau. It made me curious and now I want to know more about him. The artwork is great, and it's quite poetic; although perhaps it looks at Thoreau as too much of a saint...",6,"['2016', 'comic-books', 'non-fiction']"
Vendedor de rápida ,https://www.goodreads.com/user/show/30704215-vendedor-de-r-pida,2,"May 19, 2015","Flojita ilustración de la vida de Thoreau que intenta condensar su obra en algunos momentos ejemplares, nunca mejor dicho. El cómic no debería requerir la entrevista final al profesor Michel Granger, que explica muchas claves del pensamiento de Thoreau, aunque realmente es lo más interesante del libro.",5,[]
Mind the Book,https://www.goodreads.com/user/show/22692958-mind-the-book,3,"October 2, 2016","En oktoberdag för två år sedan pilgrimsvandrade jag från Concord till Walden Pond. Kan fortfarande inte verbalisera hur fantastiskt det var. Sublimt, kanske är ordet.http://bloggar.aftonbladet.se/musikbl...Pers Aftonbladet-text om Walden-männen fick mig att ta fram den här ur TBR:en. Uppskattar de illustrerade glimtarna ur Thoreaus liv, men vem är egentligen målgruppen? Får högstadievibbar, men för läsaren utan förkunskaper är det alltför fragmentariskt. En sak jag blir positivt överraskad och lite rörd av är att Dagermans ord om Thoreau får mycket utrymme i inledningen.Älskade t.ex. grafisk roman-versionen av Camus 'L'Etranger' och såg nyligen att Tabucchis 'Sostiene Pereira' också finns i det formatet. Det tillför alltid något att se ett älskat verk i ny bildtolkning.",3,"['alternative-lifestyle', 'anti-racist', 'dissident']"
Edward Sullivan,https://www.goodreads.com/user/show/2574606-edward-sullivan,4,"June 1, 2016","A completely admiring graphic biography of Henry David Thoreau. Interesting visual interpretations of episodes from Thoreau's life and depictions of him as a naturalist, philosopher, abolitionist, and dissident. The author does a good job incorporating Thoreau's own words into the text.",2,"['biography', 'graphic-comic-narrative', 'writers']"
Helen,https://www.goodreads.com/user/show/10027414-helen,4,"December 4, 2019","This is a very interesting graphic novel treatment of the life of the famous philosopher, writer, and activist Henry David Thoreau. I had only an inkling of the scope of Thoreau's thoughts and activities - mainly, the usual impression of a philosopher, proto-environmentalist, observing nature at Walden Pond. I had no idea he was a fierce opponent of slavery and a supporter even of John Brown, who was hanged for trying to incite a slave revolt at Harper's Ferry, Virginia. Thoreau was steadfastly real - kept to his principles no matter what - and his integrity (even if you didn't always agree with him) was what must have most impressed his listeners or readers. He was the opposite of a go-getter capitalist type - withdrawing to the pond, he reached for philosophical wisdom through hiking, observing nature, writing, reading - leading a very austere, scholarly existence for some years (although he was only a few miles from his family home). He was probably reacting to the waves of development and coming industrialization of the northeast - the mills in Massachusetts for example. It may be a stretch to compare him to Marx - but in both in a way were reacting to the Industrial Revolution and what it was doing to humanity. This GN is a good introduction to the complex life of a great American philosopher. It's well-drawn and the limited/muted color palette seems to evoke the 19th C; the text is likewise clear and understandable. Some quotes:""[Thoreau:] [The Brahmins] ... have understood for a long time that possessions end up possessing the being."" ""[Thoreau:] [It doesn't] matter how valuable law may be to protect your property, even to keep soul and body together, if it do not keep you and humanity together."" ""[Thoreau:] I hear many condemn [John Brown and his] ... men because they were so few. When were the good and the brave ever in a majority?"" ""[Thoreau:] [John Brown] ... liberated men from slavery... He is his own savior, but not an earthly one. And although he has nothing, he has everything..."" From the essay by Professor Michael Granger, which is included in the book after the GN:""It was his opinion and abjection of slavery that made him reflect on the individual citizen's relationship to government: how does one behave when faced with laws that do not respect what the knew to be universal moral principles? Early in his life, he believed that conscientious objection, in which the act of non participation is innate, would be an appropriate response."" ""...Thoreau defined a good life, to be made up of one's own culture, of voluntary simplicity, and of resistance to money and consumption."" ""Writing though the middle of the 19th century, he lived in a time of incredible technological innovation. It would be easy to paint Thoreau as a Luddite because of his dismissal of fashion, consumerism, technological innovation, and capitalism. Living this way today would classify him as a reactionary or an extreme conservative."" ""...he viciously criticized religion as stifling the individual and keeping it from evolving."" ""...he was a social progressive, all without ever taking part in any organization of reformers or accepting to be a member of a political party. His assiduous and methodical observation of nature that drove him to develop an ecological vision remain pertinent even today."" ""...he knew how to expertly talk about the simple life and of resistance to institutions and to traditions that abuse free thought."" ""...he did not adhere to any organizations, as he expected very little good to come from a group of men."" ""...he believed in the necessity of preserving nature, forests and other naturally aesthetic sites, by pulling the responsibility of its protection from landowners so as to entrust it to the community.""",0,[]
Ben Truong,https://www.goodreads.com/user/show/77170844-ben-truong,3,"August 4, 2021","Thoreau: A Sublime Life is a graphic novel written and by Maximilien Le Roy and illustrated by A. Dan. It tells the life of a classic philosopher with an eye to modern concerns and context.Henry David Thoreau was an American naturalist, essayist, poet, and philosopher. A leading transcendentalist, he is best known for his book Walden, a reflection upon simple living in natural surroundings, and his essay Civil Disobedience – an argument for disobedience to an unjust state.Le Roy's foreword establishes his perspective, to show the various aspects of Henry David Thoreau's life as the father figure of civil disobedience: pacifist, abolitionist, philosopher, naturist, but one who sought to live his ideas in concrete, everyday experience. By subsuming the reader in Thoreau's day-to-day existence, his concerns come alive not as historical, in the years leading up to the Civil War, but as relevant to those seeking authenticity today. It’s a heady experience, being so caught up in another's life so effectively.Thoreau: A Sublime Life is written and constructed moderately well. Dan and Le Roy argue that Thoreau was no intellectual scribbling in the woods, but a radical dreamer who had it in him to try to bring down the state. By showing Thoreau as the fiery abolitionist, who helped slaves escape to freedom, the outlaw arrested for not paying his taxes in opposition to slavery and the Mexican War, the appreciator of other cultures, and the revolutionary, who met and agreed with John Brown in wonderful fluid art.A six-page ending essay by Michel Granger, a professor specializing in Thoreau’s life and work, discusses his political positions and philosophies. Granger makes a case for Thoreau’s status as a rebel that goes beyond the catchphrase of civil disobedience.All in all, Thoreau: A Sublime Life is gives a luminous light to one of America’s most stirring writers of conscience.",0,"['biography', 'environment', 'essays']"
