user_name,user_url,rating,date,text,likes,shelves
Sam Quixote,https://www.goodreads.com/user/show/5759543-sam-quixote,1,"August 26, 2017","Sartre is a really crappy biographical comic on the major twentieth century French philosopher, Jean-Paul Sartre. Writer Mathilde Ramadier does a remarkably substandard job of explaining the philosophy of existentialism, which Sartre was most famous for, as well as failing to highlight what made him notable to the wider public in the first place. We just get a truncated overview of his (seemingly) uneventful life from bookish youth to teacher to - suddenly! - intellectual celebrity. The love of his life and fellow intellectual, Simone de Beauvoir, figures heavily as expected but the bio spends a bit too much time on her when that time should’ve been spent on the actual subject of the book, Sartre. Like, how about exploring the ideas and themes of his books instead of just mentioning their titles? Near the end he clutches his chest but it’s never explained - what illnesses did he suffer from? And then he suddenly dies and there’s a state funeral - why? What major impact did he make on French society? It’s such an uninformative pseudo-biography. Albert Camus cameos but all we learn about him was that he was a bit of a horndog and that he didn’t believe he was an Existentialist. If you didn’t already know he was a famous writer and thinker himself, you’d never get it from this book! That surface-level overview fits in with the rest of this crap. Anais Depommier’s art is ok but very plain and unremarkable. Sartre is a dull, weak and unimpressive look at Jean-Paul’s life. There’s bound to be better bios out there on this chap’s life but, whatever you do, don’t bother with this boring, unenlightening rubbish.",33,[]
Dave Schaafsma,https://www.goodreads.com/user/show/269235-dave-schaafsma,3,"May 10, 2018","There's a kind of long term fascination with all those expatriates living in Paris for a time, and writing: Hemingway, Fitzgerald, Gertrude Stein, and so on. But we also have a fascination for actual Parisian existentialists and their friends, Camus, Sartre, de Beauvoir. I think this graphic ""biography"" may really be intended for people who already know Sartre's life and work. The author and artist seem not so much to try to convey his life and ideas as to kind of distill how the ideas emerged out of Sartre's life and relationships over time, with specific focus on his long open relationship with Simone de Beauvoir, whom Sartre nicknamed ""Beaver."" Their idea was to emphasize freedom in their own personal relationship and thus the idea emerged in his/their writings. The idea is to get the feel of the conversations they may have had, and the conversations he and she had with others, though much of it isn't all that revealing and surely not philosophically substantive. You don't learn very much about existentialism in this volume. It's meant to evoke a time and place and series of relationships. You don't come to ""like"" or admire Sartre from this volume, but the community of people make for a pretty interesting picture. I liked the beautiful production and I like the art work very much, though it isn't really formally challenging so much as romantically framed and colored. So I think you might look at this if you love Sartre or de Beauvoir and want a fictional glimpse into them. But if you don't know them at all, you would likely just be annoyed by these people. I liked it pretty well once I gave up on the idea of its being an actual biography.",30,"['gn-bio', 'gn-european', 'gn-philosophy']"
Keyo Çalî,https://www.goodreads.com/user/show/72024092-keyo-al,4,"June 20, 2018","The book was funny, it was full of wonderful moments from Sartre's life and it was good to see the atmosphere they had at that time.But they had to concentrate on Sartre's philosophy more than anything else.",31,"['biography', 'graphic-novels']"
Juneko Robinson,https://www.goodreads.com/user/show/3457225-juneko-robinson,1,"September 16, 2021","I usually refrain from negative reviews but this one was such a disappointment, it warrants commentary. First of all, this book breaks the number one rule of graphic novels & nonfiction: its visual style is astoundingly boring. Panel after panel depicts talking heads looking at one another. The colors are too subtle and bland for a medium whose primary purpose is to inject the dynamism of comic books into subjects often thought to be too dry for most general audiences. Compare this to Maus by Art Spiegelman or even Nietzsche for Beginners by Marc Sautet and illustrated by Patrick Boussignac and you’ll see what I mean. Furthermore, some of the characters are drawn so similarly that it can be confusing which is which and there is too much time spent on either peripheral characters or characters like Beauvoir, who deserves her own graphic nonfiction, at the expense of Sartre’s life and thinking. Additionally, although the illustrations attempt to capture Paris at that time, it does so generically with bland cityscapes that fail to convey the zeitgeist of a country living under Nazi occupation. Second, the text is boring. One would never know that Sartre enjoyed an exciting and varied life during a pivotal moment in history. It was the life of a passionate intellectual during a time of passionate intellectualism. Depicting characters smoking and talking does little to convey that. In addition, the timeline is muddled, the transitions between scenes (& time periods) too abrupt.Finally, the author does an exceedingly poor job of explaining Sartre’s philosophy and how he attempted to live it. Again, graphic books like this have two types of consumers: those with some familiarity with the subject and those with none. This book arguably fails to appeal to either. Moreover, the dialogue is, quite frankly, terrible. Conversations are stilted, unnatural, and unrealistic. Even Sartre’s own internal dialogue is unconvincing and unilluminating. Ironically, the most interesting part of the book was the end where it lists the biographical information of each of the characters that appear (although, interestingly enough, not Beauvoir). All in all, I am sorry to say that this graphic biography was an epic fail.",5,"['2020s', 'biography-memoirs', 'graphic-novels']"
Lauren ,https://www.goodreads.com/user/show/1291915-lauren,3,"October 16, 2018","Spotlight events in the lives of Jean-Paul Sartre and Simone de Beauvoir (she probably should have been included in on the title, because this book spends a lot of time on her too!) and their relationship and co-mingling philosophies. Ramadier's storytelling jumps around quite a bit in time and space, and there is a lot of assumed knowledge of each of Sartre and de Beauvoir's opinions and great and lesser works. Towards the end, there was some political notes that were a bit hard to follow not being as familiar with intricacies of French decolonization, etc.The artwork was fantastic, so visually appealing and was the best experience of the book. The landscapes, the characters - Sartre, de Beauvoir, Camus, and many others in their orbit - are wonderfully detailed, and beautifully colored in the graphic novel.",4,"['bios-memoirs', 'french-language-lit', 'graphic-sequential-art']"
Laura,https://www.goodreads.com/user/show/2694983-laura,4,"August 23, 2017","I have only read one thing by Satre, and that was Huis Clos (No Exit), back in high school, but it stuck with me, I still remember that idea that we only see into the living world as long as someone remembers us there, as well as people are hell.This biography touches very lightly on the man, but it does help to understand a little bit about where his thoughts came from. This is very much not a children's book, or even YA, unless they are well versed in history. What is very cool here is that Simone de Beauvoir is represented here, as a whole person, having adventures on her own, going to her own book signings, and even getting annoyed when someone presumes that Satre is her husband, in her very open, non-marriage.Well written, well researched, with quotes called out in color, so you know when a line is coming directly from Satre, or Beauvoir (also known as The Beaver).Not easy to read, but very informative.Thanks to Netgalley for making this book available for an honest review.",2,"['france', 'graphic-novels', 'netgalley']"
Lara,https://www.goodreads.com/user/show/138246549-lara,2,"November 2, 2023",Sadly underwhelming,2,[]
Maggie Gordon,https://www.goodreads.com/user/show/20768655-maggie-gordon,1,"January 1, 2018","I had thought, going in, that this comic would be an overview of Sartre's life and work. Unfortunately, without a prior understanding of this man's legacy, you're not going to come out understanding anything about him, other than he was a frustrating white dude with an attitude that was not at all endearing... (at least this interpretation of him). The narrative barrels through his life, touching on milestones, but seemingly dwelling on the less important bits. His works are mentioned via title, but rarely explored. The author seemed to be chasing too many threads.",0,"['graphic-novels', 'memoir']"
Ellen   IJzerman (Prowisorio),https://www.goodreads.com/user/show/17783302-ellen-ijzerman-prowisorio,1,"May 12, 2022","In werkelijk alles ondermaats: vertelling, structuur, afbeeldingen... slaapverwekkend en als biografie errug mager. Alsof de samenvatting van wikipedia is gepakt en daar plaatjes bij gemaakt zijn.",0,[]
Krista,https://www.goodreads.com/user/show/60039655-krista,4,"March 26, 2020",Ευχάριστο αλλά δεν είμαι σίγουρη ότι θα μπορούσα να παρακολουθήσω τα γεγονότα αν δεν είχα διαβάσει ήδη βιογραφίες των Σαρτρ και Μπωβουάρ.,0,['700-arts-comics-art-history']
