user_name,user_url,rating,date,text,likes,shelves
Chad,https://www.goodreads.com/user/show/25388909-chad,2,"September 20, 2021","The dull biography of a fascinating woman. She became a best-selling author in France, ghostwriting for her husband before setting out on her own. At a certain point though, this became about all her many affairs. They all blended together to the point it was just the same thing over and over. The art is nice though.",23,"['2021', 'hoopla']"
Dave Schaafsma,https://www.goodreads.com/user/show/269235-dave-schaafsma,2,"November 27, 2018","A symbol, an icon, for freedom for women in the early twentieth century, Collette became a popular writer and much loved in France and the wider world. This comics biography by Annie Goetzinger covers a period in Colette's life she had much written about, La Belle Époque, a period of Western history usually dated from the end of the Franco-Prussian War in 1871 to the outbreak of World War I in 1914. In Colette's case, the focus is on her marriage at 20 to her divorce. The main thing that happened during this time is that she and her husband had a lot of ""affairs,"" so this book focuses on that. Freedom!? And there's some focus on the writing. Her husband hired people to ghost-write novels for him, but he never had success such as he had when Collette began writing novels for him. The first two sold more than 40,000 copies a piece. It was not until later that she began to own her own work and developed a reputation of her own. I like the lovely, period-seeming art; the story is, amazingly, given the subject matter, less than compelling, unfortunately. One affair blends into the next, you don't get to know them, eh. I so wanted to like this book, but uh. . . thought it was just okay.",18,"['gn-bio', 'gn-european', 'gn-women']"
"Vicky ""phenkos""",https://www.goodreads.com/user/show/10519601-vicky-phenkos,2,"August 12, 2018","I became interested in this comic book/graphic novel because it covers a period in Colette’s life that’s not as well known and documented as her later period – Colette’s formative years during her marriage to Henry Gauthier-Villars and immediately after her divorce. In this younger Colette we find a woman who is “at once wise and unconventional, sweet and vindictive, steadfast and fickle, natural […] and affected”, as Nathalie Crom says in her Introduction. The Introduction aside, however, I didn’t enjoy this book as much as I’d thought I would. For one thing, I didn’t like the drawing very much; the colouring was subdued and uninteresting and the pencilling itself was not as highly accomplished as I’d expected. The other problem was the rendering of the story: it was too fragmentary and quickly paced covering large stretches of Colette’s life without sufficient depth and detail. As a result, the reader had to rely on the introduction to fill in the gaps, thus creating a vicious circle: without the introduction the reader has difficulty following the story, but, having read the introduction, the graphics do not add much to the main story. So overall: the concept was good and had a lot of potential, but unfortunately the implementation left much to be desired. Thanks to Netgalley for the advance copy.",11,[]
George Ilsley,https://www.goodreads.com/user/show/4003368-george-ilsley,3,"October 17, 2022","I’ve not read much by the remarkable Colette, but what I have encountered is sharp, spare, delicately perverse—at once entertaining and disturbing. In addition to her writing, Colette's life was also vibrant, unconventional, scandalous, and inspirational.This volume was published in French as ""Les Apprentissages de Colette"". The meaning here is “learning” (as in the English word ""apprentice) so might be translated as The Education of Colette, or Becoming Colette. I found this translation awkward—starting with the title. Good introduction if someone knows nothing about this writer’s life and her many works. However, a reader would be better served actually reading more Colette—which is what I intend to do.",5,"['biography', 'graphic', 'history']"
Rod Brown,https://www.goodreads.com/user/show/23954351-rod-brown,2,"December 30, 2018","Pretty pictures, but pretty dull.I knew nothing of Colette beyond seeing the trailer for the recent movie, but Goetzinger's cover art cannot help but catch the eye, so I snatched this up at the library. Indeed, the art throughout is quite nice.Colette seems to have lived an interesting life, but this book is more interested in the soap opera aspects of all her loves and scandals rather than firmly placing the significance of her work in the larger literary landscape of the time. This bio assumes a knowledge of Colette's writing which I do not have. Porn with a strong female protagonist maybe? I'm just guessing. I suppose I could Google her, but what was the point of reading this then? The pretty pictures, I suppose.",5,[]
Adam,https://www.goodreads.com/user/show/51561032-adam,2,"August 17, 2021","a bonus borrow from Hoopla that caught my eyeA beautifully illustrated book about an intriguing historical character that absolutely loses it's way at the 1/4 mark. This should a far more interesting book, but the story telling gets in its own way and the ending is almost hilariously abrupt. - The art was spellbinding, which is why I kept going, but the way the story lays itself out is just abysmal. This shouldn't be a boring story and I got bored.",4,['hoopla-app']
Dakota Morgan,https://www.goodreads.com/user/show/4884171-dakota-morgan,2,"March 3, 2019","For a book about a woman who led such an exciting life, The Provocative Colette is surprisingly dull. Flat dialogue, unclear timelines, and poor narration undo what should be an interesting biography. The art is far better than the text, although the fact that all the women look like Colette doesn't help the reader. I found the Chronology and Entourage sections at the end to be much more interesting than the actual narrative, a clear sign that something went wrong.",4,[]
Laurelas,https://www.goodreads.com/user/show/47604721-laurelas,3,"September 22, 2020","Comme j'aime bien lire des BD-biographies, j'ai emprunté celle-ci à la bibliothèque (sans forcément faire attention au fait que c'est la même autrice que pour Jeune fille en Dior !) et sa lecture m'a beaucoup rappelée le film qui a adapté cette même période de la vie de Colette (avec Keira Knightley dans son rôle).La BD m'a semblé un peu superficielle, se concentrant sur la vie amoureuse (tumultueuse) de Colette, plus que sur son écriture ou d'autres évènements de sa vie... mais dans la mesure ou ses aventures façonnent ses écrits, ce n'est peut-être pas si mal après tout ? Difficile d'être exhaustif après tout, surtout dans le genre du roman graphique...En somme un récit intéressant pour qui ne saurait rien de la vie de Colette, mais qui ne sert que d'introduction (à mon sens). Les dessins sont élégants et c'est assez plaisant à lire pour cette raison également.À découvrir, peut-être à la bibliothèque, surtout si vous ne savez rien de Colette.",2,"['from-the-library', 'graphic-novels']"
Wayne McCoy,https://www.goodreads.com/user/show/4054541-wayne-mccoy,2,"July 6, 2021","'The Provocative Collette' with story and art by Annie Goetzinger is a graphic novel about Sidonie-Gabrielle Colette during a specific period in her life.Colette was born in a less well off family and married off to womanizer at the age of 20. This graphic novel shows Colette as powerful and capable. Her early writing was taken by her husband, whom she would soon divorce. This also follows her early years.I would have liked a better introduction to this person, in a better foreword or afterword. I felt a lot of disinterest while I read this because it didn't really help me understand why I should care about this person. The art, on the other hand, was quite good, but that's hardly a reason to recommend this graphic novel.I received a review copy of this graphic novel from NBM Publishing and NetGalley in exchange for an honest review. Thank you for allowing me to review this graphic novel.",3,['graphic-novels']
Severine,https://www.goodreads.com/user/show/4392647-severine,2,"November 19, 2018","I love Colette and she had a fascinating life, but this graphic novel is not a particularly good reflection of it. I guess trying to squeeze all her many love affairs makes sense because it’s still a sort of unconventional kind of woman’s life even by today’s quite monogamous standards, but I got lost after the third mustachioed dude in a top-hat, and couldn’t tell the guy she met later in life and invited to the rivera from Missy. Why even, then? I understand that there seemed to be a chronological effort, but we really didn’t need all the repetitive and interchangeable men. Besides, the more important and impactful characters, like Missy, again, got lost in this whole flurry. And so did Colette’s writing career. Very lukewarm effort.",3,"['edelweiss', 'france', 'queer']"
