user_name,user_url,rating,date,text,likes,shelves
Julie ,https://www.goodreads.com/user/show/5210022-julie,4,"December 14, 2018","The Beatles in Comics by by Gaet's, Michels Mabel is a 2018 by NBM Publishing publication. I've listened to The Beatles since I was a very small child. But, it wasn't until I was about ten or eleven that I became an avid fan. I’m not a collector of memorabilia or anything, but I do love reading anything about the group, and have several lovely coffee table books about The Beatles. This book intrigued me because this past year I suddenly developed an interest in Graphic Novels, Manga, and Comics. The Beatles and Comics? How could I pass that up? I was a little surprised when the book arrived in the mail. I wasn’t expecting such a lovely hardcover ‘coffee table’ style book! What a nice surprise! However, the first thing that should be noted is that this book is not entirely made up of comics. In fact, the comics sections divide the space with the standard coffee table book format. The book chronicles the history of the group, from their first interest in music and onwards, using photographs and comics along with some brief remarks or commentary. The other thing a knowledgeable comic lover will notice is that multiple illustrators contributed the artwork for this book. In and of itself, that’s not a problem, at least not for me. However, even a novice like myself couldn’t help but notice the extreme differences in style. Some of the artwork is better than others, which makes the overall experience a little uneven. In one instance, an illustration of a young Paul McCartney reminded me of Eddie Munster. The Beatles were barely recognizable in a few of the other comics drawings, as well. However, for the most part, the various artists did a good job of depicting the Fab Four at various stages in their careers. Beyond the illustrations, the book was typical of a coffee table book, lots of great, glossy photos of the band, along with wonderful bits of history and trivia. I enjoyed looking through the book and I think the book will make a great conversation piece. If you are Beatles fan, you might want to consider this one, for its uniqueness, if for no other reason. This book would also make a nice gift, not only for the die hard Beatles fan, but for those who enjoy history, pop culture and nostalgia. 3.5 stars",67,"['2018', 'comics-manga', 'giveaways']"
Dave,https://www.goodreads.com/user/show/35045983-dave,4,"November 28, 2018","""The Beatles in Comics"" is a fun coffee table type book telling the history of the Beatles. There are 24 chapters, each beginning with a short summary and photos of that part of their history. That part is similar to many coffee table music books. That summary is then followed by a cartoon story, with each chapter featuring work by a different artist. I found this book to be lots of fun. The advance reader's copy I was provided only took the story fifty percent of the way through - to the Shea Stadium concert. Would like to see the rest someday. Bottom line- just plain old fun.",6,"['music-books', 'read-borrowed']"
Rod Brown,https://www.goodreads.com/user/show/23954351-rod-brown,3,"November 14, 2018","My fifth Goodreads Giveaway win in two years! (My secret super power? Door prizes. Seriously, you do not want me as your co-worker in any sort of drawing at a company gathering.)I have a passing familiarity with the Beatles, but growing up, mine was an Elvis Presley family. I do own a few of the Fab Four's best-of compilations and the White Album though.This is a nice, if not particularly deep, survey of the band's formation, rise in popularity, and break-up. It's jam-packed with photos and comic strips and anecdotes in text and comic form. Fun!Unfortunately, the text pieces and comic strips are written by two different people, and they aren't well coordinated, so they feature a lot - a whole lot - of redundancies. In each chapter the text piece seems to serve the purpose of setting the stage for the strip, but mostly acts as a spoiler of sorts. In almost every chapter, big events and several bits of trivia from the text is simply repeated in the strip. It just doesn't seem like the best use of time or space.A couple dozen artists contribute the strips and spot illustrations. All are decent, though most have a fairly cartoony style as opposed to going for photorealism. Not all are quite able to capture and convey likenesses, so John and Paul (and occasionally George) are sometimes hard to tell apart before John gets his glasses. (Thank goodness for Ringo's nose, I guess.)",5,['giveaway']
Derek Royal,https://www.goodreads.com/user/show/3060930-derek-royal,3,"November 21, 2018","About as much prose as comics in this book titled The Beatles in Comics. Plus, this book really needed a good edit. A number of textual problems and factual errors.",4,[]
Kathryn,https://www.goodreads.com/user/show/75946233-kathryn,4,"April 3, 2019",A must read for any Beatles fan.,3,[]
Peacegal,https://www.goodreads.com/user/show/3078602-peacegal,3,"April 23, 2019","This biographical comic, told in segments drawn by a wide variety of different artists, tells the story of the Beatles' career arc in a way designed for those who aren't too familiar with the story of the ""band that made it very, very big, that's all,"" as John Lennon once put it. There are also short blocks of text and actual photos to move the story along. As with any comics anthology, there will be art styles you will like and those you do not. From funny caricatures to realistic portraits to anime-style, you'll see the Fab Four presented in a lot of different ways. I'll be honest, it felt kind of Deviantart-y. (I was a little weirded out by the comic where Paul had the creepy hollow eyes like something out of ""Spirited Away."")While this book definitely isn't The Fifth Beatle: The Brian Epstein Story or Baby's in Black: Astrid Kirchherr, Stuart Sutcliffe, and The Beatles, it also isn't those cheap and cheesy John/George cash-in comics that came out a few years ago, either. THE BEATLES IN COMICS does communicate a love of the Fab Four that Beatles fans will appreciate.",2,[]
Denis,https://www.goodreads.com/user/show/2298109-denis,4,"April 2, 2017","Last summer, here in London (Ontario, Canada - not Her Majesty's London in the UK), organizers tried out something new, simply called, ""Beatle Fest"". They blocked off some of the downtown streets and booked various all sorts of (mostly local) Beatle, McCartney and Lennon tribute bands at various stages and night clubs where they played various Fab Four hits. There were booths set up selling Beatle and sunny peace-loving sixties memorabilia and merchandise - the main point of the event obviously.The music and overall vibe was alright, if not at times a bit cheesy. I did, however, see this lovely volume on one of the tables. It is a 252 page chronology of the story of the Beatles - starting with the Quarrymen all the way to the breakup and solo careers, illustrated by not one but 25 unique artists from all over Europe (one featured per chapter).There is as much straight forward text by French author ""Gaet's"" here as there is illustration. A lovely impressive volume that works equally as well as a coffee table book.",2,['trade']
Lisastrawberry,https://www.goodreads.com/user/show/47534534-lisastrawberry,3,"November 26, 2019","I wanted to like this more. Unfortunately, it's riddled with inaccuracies and details that a simple Google search would have solved. I started to get suspicious when I noticed that the book referred to a Beatles hit song ""All My Loving"" as ""All I'm Losing."" Was this a translation issue? Perhaps, but surely someone could have proofread it. Anyway, the art is wonderful and of course I'm game for a Beatles book, but it just wasn't the book I wanted it to be. What did I want it to be? An easily accessible but in depth look at the Fab Four that I could recommend to someone who perhaps wanted more history of the Beatles without the full Lewisohn page number commitment. Oh well.",2,[]
Suden Käpälä,https://www.goodreads.com/user/show/68100915-suden-k-p-l,2,"May 28, 2021","When (or if) given the benefit of doubt, this must have been a labour of love. I want to believe that. Still -- and although it came to me at the right moment and took the right amount of time for the correct amount of benefit -- I can't give it a great rating. Sadly.My expanded reading notes:May 23, 2021 - p38 - As a part of my major music reconsumption & reconnection project, started re-listening my handful of Beatles albums. Never really was a huge fan(#), but I hear they're considered good. Seem to be famous, even? Had opportunity to borrow this book, to learn a bit more about them. It's not great -- either the writing and/or the translation leaves something to be desired. But it's diverse and easily digestible.(#: It's the same with the Beats, for me, like it is with novels such as 1984 and Starship Troopers; I want to love them, I feel I need to respect them and appreciate them... but on a fundamental level, I don't, really. And that makes me a bit sad, and -- almost -- ashamed. Almost. And that's a good sign -- it means my organ for self-reflection is operating at peak efficiency. I have a broad yet distinct taste, and not all masterpieces fall within its established parameters. Some masterworks -- and some pulpy or horribly bad things -- do fit squarely within my taste, however. Leave me alone! I don't wanna talk about it!)May 26, 2021 - p168 - The texts with which the comics are interspersed are riddled with syntax and -- even worse! -- logical errors. Many unintelligible jumps in focus, and weirdly drawn or presented conclusions (often w/o any frame of reference provided); so I can't follow the plot. (Must I be a Beats scholar already? Is that a prerequisite for reading this?) The narrative of the comics is also muddled -- and they're often way too short to make much sense. As a collection of 'fun facts', and as an effort to collect it all in an original way, this earns 2* -- but for sheer annoyance in the other fields, I fear it won't earn any additional ones. The artwork is rather OK.May 27, 2021 - p186 - Funny at times, the editor/author may have attempted also to be lyrical or poetic -- but too much gets lost in translation; or, it was simply a badly executed job.It is a quick read, though. And just about satisfying enough to keep going, in-between at least 4(!) other items being currently read. So, even though I loathe rushed or unpolished publications, I won't lower my intermediate score any further. I think the intentions were good (i.e., heart in the right place).May 27, 2021 - p208 - An H.P. Lovecraft reference on this page: ""Tekeli!"". (Edit: I stand corrected; it seems to be a Poe reference after all, who nicked it from the Beatles before HPL used it.) Normally, this has a high chance of adding an automatic +1*; like a submarine. (Submarines aplenty in this book, still to come##; but no joy for *s.) What does this mean? Does HPL feature in any Beatles song (or cover artwork)? Or is it one of the myriad weird phrases that the author dropped in and never elaborates upon? That happens 5x on every page, leaving me wondering what I missed this time. The book as a whole I feel is extremely esoteric, but for knowledgable people it can't contain anything of added value... So, what audience does it strive to service, exactly?(##: Regretfully, too little is written in this comics anthology about the Yellow Sub. As if to antagonize me -- but my mind was already made up about 2*, so I'll not subtract the second * for that blatant omission of the colourful submerisible, about which I was the most curious.)Conclusion: So, while it was nice and entertaining, and even mildly educational, this wasn't for me. I'm not sure whom it is for. The two people I know who are bigger Beats fans than I am, didn't seem to care for it all that much, either. But obviously, it has its share of followers, and I'm glad for that.",0,"['rated-2-mediocre-barely-my-taste', 'read-comics']"
Joanne,https://www.goodreads.com/user/show/7099925-joanne,3,"January 18, 2021",I love a good Beatle book and this one was a fun hybrid of text/scrapbook and comics. Looks like various artists took on different chapters of Beatle history. Not too terribly deep; I don't think read anything I didn't already know. But I liked that it covered their entire history and not just the sad stuff at the end. Enjoyed reading while listening to Anthology records.,0,[]
