user_name,user_url,rating,date,text,likes,shelves
Jon Nakapalau,https://www.goodreads.com/user/show/58774673-jon-nakapalau,5,"May 31, 2024",The story of a young girl who sought justice on her own terms when the law would not let her speak: if you are looking for a clear definition of social justice this will answer all your questions. Too often we assume that the law is 'de facto' right; but that is not always true. Highest recommendation.,27,"['biography', 'crime', 'cultural-studies']"
Reading_ Tamishly,https://www.goodreads.com/user/show/102159719-reading-tamishly,5,"January 6, 2021","I am so glad I read this heartbreaking memoir of one of the strongest personalities in history ever. Maybe people might have different opinions and thoughts about such a personality being a notorious dacoit and that too being a woman (yes, discriminations still do exist as I am doing right now saying 'that too being a woman' as I had to emphasize!), there are a lot of things we do not know about the life of Phoolan Devi. I heard a few things about her when I was a kid and I can still vividly remember adults whispering about her, keeping mum when we kids were around and didn't say anything when we kids asked about her. Talking about her was like a forbidden topic. And when the movie based on her life came out, I still remember all that people including my classmates talked was how the movie featured some adult rated scenes and how the actress was completely naked on screen. Yes, that's the sad part. And so I wasn't much aware about the life of Phoolan Devi inspite of getting confused why she was celebrated and hated at the same time. This graphic novel came to me as a blessing. It's so intense, graphic (yes, graphic for a graphic novel!), beautifully illustrated and one of the best story telling efforts I have ever come across!The book will remain forever etched in my mind and I truly appreciate the efforts of the author and the artist for bringing out one of the best graphic novel memoir ever.Thank you #NetGalley so much for this awesome graphic novel #PhoolanDeviRebelQueen",17,[]
Helene,https://www.goodreads.com/user/show/37754505-helene,4,"December 26, 2020","I bought a different edition a long time ago in India, what a compelling story. There is also a movie out. It has lost nine of it’s importance as lower cast Indian women still struggle for their basic human rights.",8,[]
Rod Brown,https://www.goodreads.com/user/show/23954351-rod-brown,3,"December 1, 2020","In this true story, a child bride from a low caste in India gets caught in a cycle of rape, violence, and revenge, rising from victim to the leader of a bandit gang that robs from the rich and gives to the poor but also perpetrates a village massacre. Steeped in sexism and rape culture, Phoolan Devi is a complex person who became a polarizing activist for women's rights.I had never heard of her before picking up this graphic novel, but the writing and art do a good job of portraying her fascinating and violent life.Trigger warning: multiple graphic scenes of rape.",7,[]
Aswathy,https://www.goodreads.com/user/show/22191031-aswathy,5,"March 31, 2022","Excellent! The art style is the ultimate match to this wrathful revolutionary woman's life. The Phoolan Devi.  I remember watching Phoolan Devi's interview in high school, and being surprised at how soft spoken, genuine and humble a person she was. I had subconsciously looked for ""masculine"" characteristics and traces of hate as well as a tinge of misplaced pride in her but was left gaping and smiling along with her instead. That was the picture I was served by the media and our culture about her until then. Kids at school even used to call the girl who bullied everyone in 6th grade, ""Bhoolan Devi"" as an insult. Little did any of us know that it was a compliment. Here's to hoping to see a well produced movie, animated or otherwise, of the part of her life as a dacoit leader, as the fierce and just woman who defended and safeguarded the poor against the corrupt public servants and the demonic landlords.",5,['favorites']
Ed Erwin,https://www.goodreads.com/user/show/1411444-ed-erwin,4,"December 22, 2021","True (mostly) story of a woman who joined and later led a group of bandits after having lived through a good deal of abuse. She became a folk hero for punishing bad men (rapists and exploiters) and had a reputation as a sort of Robin Hood who stole from the rich and gave to the poor. (Other accounts say she never actually did share the loot with the poor.) She later became a member of parliament.The truth is probably hard to separate from the myths. This book is based mostly on her own autobiography, so it is strongly biased in her favor, telling only what she wants to tell. Even so, it shows her massacring 22 men in a single event of collective punishment. True those were men in a village where she had been imprisoned and gang raped. But it isn't clear to me whether these were the men who did it.Nevertheless, a strong story of an interesting person whose violence was at least sometimes justified.",4,[]
Nicolas Lontel,https://www.goodreads.com/user/show/76024640-nicolas-lontel,5,"March 11, 2019","Probablement une des BDs les plus crûes que j'ai lu, un avertissement ou un résumé un peu plus complet sur le contenu de la BD serait certainement apprécié pour certaine personne (surtout que dans la majorité de la BD, Phoolan Devi est mineure). Je connaissais la vie de Phoolan Devi pour avoir lu d'autres textes sur elle, mais je dois avouer avoir dû prendre des pauses.Outre ces remarques, la BD semble s'inspirer en grande partie des mémoires de Phoolan Devi, quitte à prendre ses remarques textuellement pour les récitatifs (phylactères du narrateur). La BD est superbement dessinée, plein de détails, capture définitivement bien les paysages indiens, les personnages, les lieux, les contrastes entre pauvreté et richesse, etc. Très très crue par moment aussi bien que l'angle d'approche permet de ne pas être trop explicite tout en respectant une certaine importance de proximité narrative. L'histoire est bien racontée (elle s'arrête au moment de sa libération) et réussi à résumer plusieurs années en quelques pages sans avoir l'impression de voir trop d'ellipses temporelles. Bref, un excellent ouvrage d'introduction au personnage de Phoolan. Une bibliographie à la fin permet aussi d'approfondir les lectures au besoin (où j'apprends qu'Irène Frain a écrit un livre sur elle, peut-être pas tout de suite pour moi, mais je garde définitivement ça en tête).",2,[]
Milou,https://www.goodreads.com/user/show/8585586-milou,3,"March 6, 2020","I struggle to rate this graphic novel. It tells the life story of Phoolan Devi, in full and graphic detail. It shouldn't come as a surprise, but there are trigger warnings in here for rape and abuse. Phoolan was married of at the age of 11, and raped by her 30+ year old husband. And yes, you see this and it is heart wrenching. But she goes through so much more, and the way she manages to pick herself up and take fate in her own hands every time again is admirable. And it angers and saddens me that what she did was the only solution to her, and how common and recent her experiences are. This is an important and impactful story and for that alone I would give it a 5* rating.But... the execution isn't great. Her actions are never questioned for one (I don't know if it is the author's place to do so, but I would have like to see something). The art in this isn't the best either. It has some beautiful spreads, but in other places there are some serious issues (especially with eyes) and overall it isn't anything special. The pacing is off in places and the writing/dialogue don't feel natural at all.  I am still very happy (if you can call this punch in the gut that) I read this, it is a story that will stay with me for a long time. Thank you Netgalley for giving me a chance to read this.",2,[]
Kler Chevr'El,https://www.goodreads.com/user/show/152090143-kler-chevr-el,5,"December 29, 2023",Génial !,2,['2023-12-décembre']
Kevin,https://www.goodreads.com/user/show/52826068-kevin,4,"April 28, 2023",Bleak,2,"['2010-s', 'biography', 'graphic-novels']"
