,graphic-novels,graphic-novel,biography,comics,non-fiction,history,nonfiction,memoir,favorites,graphic,2017,adult,historical,art,biography-memoir,comics-graphic-novels,2018,library,2020,graphic-novels-comics,2019,historical-fiction,2023,2022,young-adult,netgalley,2021,comics-and-graphic-novels,african-american,civil-rights,graphic-novels-and-comics,2016,arc,american-history,ya,memoirs,biographies,comic,autobiography,comic-books,2024,biographical,music,true-crime,own,2015,crime,graphics,library-book,owned,books-i-own,graphicnovels,reviewed,memoir-biography,science,2012,digital,2014,graphic-novel-comic,biography-and-memoir,gn-bio,2013,book-club,comic-graphic-novel,library-books,fiction,comix,horror,graphic-memoir,fantasy,politics,biography-autobiography,ebook,graphic-comic-narrative,diversity,gn,graphic-books,from-library,feminism,activism,america,bio-memoir,graphic-nonfiction,borrowed,nonfic,20th-century,read-in-2018,graphic-novels-manga,france,adult-nonfiction,bio,read-in-2017,graphic-novel-comics,graphic-history,favourites,lgbtq,social-justice,teen,contemporary,award-winners,read-comics,read-in-2021,bios,american,biography-memoirs,black-history,giveaways,2017-reads,graphic_novel,graphicnovel,2021-reads,non-fic,award-winner,arcs,biographies-memoirs,read-2022,graphic-comic,graphic-novel-manga,sequential-art,first-reads,memoir-bio,read-2017,bios-memoirs,netgalley-edelweiss,adult-non-fiction,adult-graphic-novels,graphica-and-comix,5-star,black-authors,series,bipoc,race,21st-century,french,graphic-non-fiction,graphic_novels,bio-autobio-memoir,authors-of-color,canadian,graphic-novels-comic-books,biography-autobiography-memoir,2020-read,feminist,diverse,civil-rights-movement,african-american-history,ya-lit,comics-manga,4-stars,bd,comics-graphics,5-stars,graphics-comics,young-adult-literature,biography-or-memoir,1960s,multicultural-lit,edelweiss,read-in-2016,graphic-novels-read,2011,coming-of-age,culture,cultural-studies,education,black,borrowed-from-library,auto-bio,read-in-2023,biographies-and-memoirs,read-in-2019,2023-reads,1950s,holocaust,blm,graphix,c-comics,dnf,read-in-2015,auto-biography,autobiography-biography-memoir,young-adult-lit,lgbt,comic-book,and-own-exact-edition,comic-books-graphic-novels,read-2020,history-biography,auto-bio-memoir,public-library,autobiography-memoir,animals,2020-reads,owned-books,film,autobiography-biography,e-book,five-stars,manga,adult-fiction,non-fiction-or-based-on,high-school,gn-european,action,read-in-2013,2016-reads,comics-biography,own-physical,graphic-bio,biographymemoir,age-adult,addiction,autobiographical,comics-manga-graphic-novels,ebooks,illustrated,2021-read,queer,diverse-authors,african-american-lit,19th-century,graphic-sequential-art,engl-420,graphic-novels-comics-manga,graphic-novel-or-comic,abuse,adult-graphic-novel,3-stars,2019-reads,europe,read-harder-2018,kindle,read-in-2022,all-time-favorites,comics-graphic-novel,read-2018,classics,2009,format-graphic-novel,diverse-books,lgbtqia,african-american-literature,middle-grade,poc-authors,racism,poc,black-lives-matter,british,graphic-manga,americana,ya-nonfiction,children,genre-graphic-novel,hoopla,memoirs-biographies,death,art-history,2018-reads,net-galley,2000s,comics-graphics-etc,manga-graphic-novels,2010s,comics-and-manga,2019-read,graphic-biography,english-420,abandoned,memoir-autobiography,comics-graphic-novels-manga,gn-art-bio,bipoc-author,gn-music,top-shelf,2017-favorites,author-black,alabama,beatles,canada
graphic-novels,0.0,0.0,526.0,80.0,513.0,543.0,356.0,262.0,100.0,0.0,80.0,112.0,116.0,46.0,79.0,0.0,44.0,62.0,51.0,0.0,36.0,78.0,44.0,36.0,59.0,24.0,22.0,0.0,42.0,30.0,0.0,32.0,16.0,50.0,35.0,60.0,55.0,0.0,39.0,0.0,12.0,32.0,32.0,28.0,13.0,14.0,20.0,0.0,15.0,15.0,17.0,0.0,6.0,47.0,20.0,18.0,2.0,24.0,0.0,25.0,0.0,20.0,21.0,0.0,14.0,13.0,0.0,24.0,2.0,32.0,14.0,31.0,9.0,0.0,6.0,0.0,0.0,20.0,12.0,10.0,14.0,18.0,0.0,6.0,2.0,2.0,14.0,0.0,4.0,10.0,10.0,8.0,0.0,2.0,8.0,13.0,20.0,10.0,10.0,20.0,0.0,5.0,20.0,0.0,13.0,10.0,8.0,12.0,0.0,0.0,13.0,12.0,4.0,8.0,14.0,9.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,12.0,0.0,0.0,10.0,18.0,8.0,12.0,7.0,2.0,2.0,6.0,0.0,4.0,11.0,6.0,0.0,8.0,2.0,2.0,16.0,4.0,8.0,6.0,2.0,6.0,0.0,0.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,7.0,0.0,2.0,0.0,6.0,2.0,2.0,12.0,14.0,13.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,4.0,0.0,9.0,6.0,4.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,4.0,2.0,1.0,3.0,12.0,0.0,9.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,2.0,2.0,1.0,9.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0,1.0,10.0,1.0,0.0,2.0,6.0,4.0,0.0,5.0,11.0,4.0,4.0,4.0,1.0,4.0,6.0,2.0,0.0,3.0,10.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0
graphic-novel,0.0,0.0,645.0,40.0,453.0,489.0,382.0,316.0,36.0,4.0,54.0,85.0,140.0,54.0,97.0,0.0,50.0,61.0,38.0,0.0,45.0,73.0,20.0,22.0,68.0,34.0,32.0,0.0,30.0,39.0,0.0,24.0,8.0,11.0,36.0,23.0,10.0,6.0,51.0,2.0,14.0,16.0,28.0,24.0,7.0,22.0,34.0,0.0,24.0,4.0,9.0,0.0,4.0,30.0,20.0,10.0,0.0,12.0,0.0,8.0,0.0,6.0,15.0,0.0,4.0,25.0,0.0,16.0,2.0,2.0,13.0,11.0,13.0,0.0,17.0,0.0,0.0,45.0,16.0,2.0,4.0,8.0,0.0,8.0,17.0,2.0,6.0,0.0,14.0,13.0,10.0,2.0,0.0,14.0,1.0,11.0,5.0,20.0,8.0,7.0,0.0,0.0,0.0,25.0,7.0,10.0,2.0,0.0,0.0,0.0,2.0,8.0,18.0,4.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,12.0,4.0,2.0,14.0,2.0,0.0,0.0,0.0,2.0,15.0,8.0,0.0,9.0,11.0,12.0,6.0,0.0,2.0,7.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,15.0,4.0,8.0,0.0,4.0,0.0,2.0,9.0,2.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,8.0,2.0,0.0,0.0,4.0,2.0,7.0,0.0,0.0,8.0,7.0,0.0,0.0,2.0,2.0,6.0,8.0,5.0,2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,8.0,0.0,4.0,13.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,20.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,4.0
biography,526.0,645.0,0.0,334.0,124.0,310.0,109.0,23.0,54.0,90.0,24.0,60.0,49.0,149.0,0.0,31.0,38.0,11.0,14.0,18.0,25.0,18.0,17.0,16.0,10.0,12.0,22.0,19.0,34.0,22.0,4.0,12.0,14.0,15.0,4.0,8.0,0.0,24.0,13.0,7.0,16.0,4.0,38.0,4.0,0.0,6.0,37.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,30.0,4.0,0.0,6.0,9.0,0.0,0.0,2.0,9.0,5.0,0.0,12.0,10.0,18.0,0.0,12.0,13.0,0.0,5.0,48.0,11.0,0.0,16.0,6.0,22.0,12.0,16.0,0.0,11.0,8.0,0.0,14.0,0.0,0.0,12.0,8.0,0.0,2.0,6.0,15.0,4.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,6.0,6.0,0.0,16.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,6.0,3.0,6.0,0.0,1.0,6.0,0.0,0.0,2.0,10.0,2.0,6.0,4.0,0.0,2.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,16.0,0.0,6.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
comics,80.0,40.0,334.0,0.0,162.0,227.0,117.0,50.0,30.0,2.0,16.0,26.0,33.0,40.0,18.0,0.0,14.0,18.0,7.0,0.0,16.0,18.0,7.0,10.0,3.0,8.0,9.0,0.0,4.0,8.0,0.0,14.0,2.0,6.0,4.0,19.0,28.0,0.0,14.0,0.0,6.0,0.0,16.0,8.0,7.0,8.0,26.0,0.0,12.0,6.0,2.0,1.0,6.0,4.0,10.0,2.0,0.0,4.0,0.0,2.0,0.0,6.0,4.0,0.0,3.0,2.0,2.0,20.0,0.0,24.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,11.0,0.0,0.0,4.0,26.0,27.0,4.0,0.0,10.0,0.0,6.0,4.0,0.0,0.0,6.0,8.0,3.0,0.0,2.0,2.0,0.0,0.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,24.0,2.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
non-fiction,513.0,453.0,124.0,162.0,0.0,117.0,0.0,68.0,16.0,65.0,16.0,8.0,35.0,18.0,31.0,55.0,10.0,14.0,9.0,19.0,6.0,5.0,9.0,8.0,32.0,8.0,8.0,17.0,0.0,2.0,23.0,8.0,0.0,4.0,18.0,10.0,12.0,14.0,8.0,6.0,0.0,6.0,6.0,22.0,3.0,10.0,2.0,0.0,32.0,6.0,3.0,8.0,6.0,14.0,0.0,2.0,0.0,6.0,19.0,3.0,2.0,2.0,11.0,4.0,1.0,2.0,4.0,8.0,8.0,0.0,5.0,13.0,0.0,0.0,1.0,7.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,6.0,4.0,0.0,0.0,18.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,0.0,12.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,4.0,6.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
history,543.0,489.0,310.0,227.0,117.0,0.0,74.0,145.0,22.0,70.0,26.0,4.0,4.0,29.0,43.0,47.0,2.0,23.0,2.0,14.0,15.0,8.0,10.0,4.0,14.0,0.0,3.0,16.0,26.0,33.0,30.0,6.0,4.0,10.0,6.0,15.0,16.0,6.0,36.0,6.0,6.0,8.0,4.0,0.0,2.0,0.0,4.0,9.0,12.0,2.0,0.0,8.0,2.0,18.0,6.0,0.0,0.0,4.0,3.0,20.0,0.0,2.0,8.0,7.0,0.0,8.0,4.0,4.0,7.0,2.0,27.0,8.0,1.0,0.0,4.0,4.0,4.0,2.0,10.0,2.0,0.0,2.0,7.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,8.0,0.0,13.0,0.0,0.0,2.0,10.0,2.0,4.0,0.0,0.0,0.0,3.0,7.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,4.0,10.0,0.0,5.0,0.0,2.0,2.0,4.0,0.0,6.0,0.0,4.0,0.0,2.0,4.0,0.0,1.0,6.0,0.0,11.0,13.0,0.0,2.0,0.0,2.0,0.0,9.0,2.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
nonfiction,356.0,382.0,109.0,117.0,0.0,74.0,0.0,95.0,22.0,26.0,8.0,26.0,36.0,4.0,26.0,17.0,12.0,14.0,10.0,23.0,16.0,2.0,4.0,8.0,28.0,2.0,3.0,20.0,8.0,8.0,20.0,2.0,2.0,0.0,14.0,9.0,5.0,6.0,0.0,2.0,2.0,0.0,8.0,10.0,6.0,4.0,0.0,16.0,2.0,0.0,6.0,17.0,2.0,10.0,8.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,13.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,20.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,6.0,8.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,4.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
memoir,262.0,316.0,23.0,50.0,68.0,145.0,95.0,0.0,13.0,28.0,8.0,6.0,29.0,0.0,0.0,15.0,8.0,3.0,6.0,12.0,16.0,4.0,6.0,3.0,10.0,0.0,3.0,7.0,14.0,4.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,4.0,12.0,1.0,6.0,4.0,0.0,2.0,0.0,2.0,14.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favorites,100.0,36.0,54.0,30.0,16.0,22.0,22.0,13.0,0.0,3.0,16.0,5.0,14.0,6.0,6.0,3.0,6.0,0.0,6.0,14.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,8.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
graphic,0.0,4.0,90.0,2.0,65.0,70.0,26.0,28.0,3.0,0.0,2.0,14.0,13.0,8.0,3.0,0.0,2.0,10.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
