tag,frequency
graphic-novels,3023
graphic-novel,2348
biography,1394
non-fiction,1124
comics,1061
history,1044
nonfiction,851
memoir,513
favorites,364
graphic,289
adult,269
historical,259
biography-memoir,252
2017,252
comics-graphic-novels,226
art,216
2020,211
2019,187
library,185
2018,168
graphic-novels-comics,168
2023,149
2022,146
historical-fiction,141
2021,140
young-adult,140
comics-and-graphic-novels,124
netgalley,116
autobiography,115
civil-rights,113
graphic-novels-and-comics,111
ya,111
american-history,108
memoirs,107
african-american,107
2016,99
arc,98
biographies,90
comic,84
2024,83
biographical,77
comic-books,77
own,76
music,70
owned,69
graphics,68
true-crime,67
crime,66
books-i-own,65
2015,64
library-book,63
graphicnovels,62
book-club,62
memoir-biography,58
reviewed,55
library-books,52
graphic-novel-comic,51
ebook,51
science,50
2012,50
biography-and-memoir,49
graphic-memoir,48
digital,48
2014,48
diversity,48
comic-graphic-novel,47
gn-bio,45
2013,45
fiction,45
biography-autobiography,43
comix,42
horror,42
politics,42
fantasy,40
gn,39
graphic-books,39
graphic-novels-manga,39
activism,39
graphic-comic-narrative,38
graphic-nonfiction,38
from-library,37
bio-memoir,36
20th-century,36
america,36
lgbtq,36
borrowed,35
bio,35
read-in-2021,34
feminism,34
favourites,34
social-justice,34
nonfic,33
read-in-2018,31
graphic-novel-comics,31
american,31
5-stars,31
adult-nonfiction,30
teen,30
biographies-memoirs,30
france,29
read-in-2017,29
biography-memoirs,29
graphic-history,28
bios,28
award-winners,28
authors-of-color,28
2021-reads,27
contemporary,27
read-comics,26
award-winner,26
graphic_novel,25
5-star,25
graphic-novel-manga,25
memoir-bio,25
bipoc,25
black-history,25
read-2022,24
giveaways,24
adult-non-fiction,24
family,24
graphicnovel,24
read-in-2019,24
2017-reads,24
non-fic,24
race,24
graphic-comic,23
2020-read,23
diverse,23
arcs,22
graphic-novels-comic-books,22
bios-memoirs,22
graphic-non-fiction,22
biography-autobiography-memoir,22
sequential-art,22
first-reads,21
read-2017,21
autobiography-memoir,21
coming-of-age,21
netgalley-edelweiss,20
adult-graphic-novels,20
21st-century,20
graphica-and-comix,20
graphic_novels,20
culture,20
black-authors,20
series,20
ya-lit,19
comics-manga,19
4-stars,19
french,19
comics-graphics,19
bio-autobio-memoir,19
biographies-and-memoirs,19
read-in-2020,19
2023-reads,19
2020-reads,19
graphics-comics,19
biography-or-memoir,19
middle-grade,19
canadian,19
wwii,18
graphic-novels-read,18
feminist,18
cultural-studies,18
five-stars,18
manga,18
education,18
multicultural-lit,18
civil-rights-movement,18
african-american-history,18
bd,17
2019-reads,17
auto-biography,17
autobiography-biography-memoir,17
young-adult-literature,17
asian-american,17
e-book,17
1960s,17
edelweiss,16
comic-book,16
read-2020,16
read-in-2016,16
children,16
read-in-2023,16
graphic-memoirs,16
kindle,16
2011,16
autobiography-biography,16
diverse-books,16
black,16
graphix,15
asian,15
borrowed-from-library,15
auto-bio,15
dnf,15
comics-manga-graphic-novels,15
owned-books,15
middle-school,15
queer,15
1950s,15
holocaust,15
blm,15
high-school,14
graphic-novels-comics-manga,14
hoopla,14
c-comics,14
abuse,14
read-in-2015,14
read-in-2022,14
ebooks,14
illustrated,14
comics-graphic-novel,14
young-adult-lit,14
2021-read,14
lgbt,14
bipoc-author,14
lgbtqia,14
diverse-authors,14
racism,14
and-own-exact-edition,13
comic-books-graphic-novels,13
history-biography,13
auto-bio-memoir,13
memoirs-biographies,13
graphic-novel-or-comic,13
adult-graphic-novel,13
manga-graphic-novels,13
public-library,13
autobiographical,13
animals,13
all-time-favorites,13
memoir-autobiography,13
film,13
poc,13
2022-reads,12
japan,12
adult-fiction,12
non-fiction-or-based-on,12
graphic-novels-or-comics,12
gn-european,12
graphic-sequential-art,12
action,12
read-in-2013,12
2016-reads,12
comics-biography,12
own-physical,12
3-stars,12
graphic-bio,12
biographymemoir,12
2019-read,12
age-adult,12
addiction,12
read-2019,12
graphic-format,12
poc-authors,12
children-s,12
comics-graphic-novels-manga,12
african-american-lit,12
graphic-novels-and-manga,11
19th-century,11
read-in-english,11
americana,11
manga-graphic-novel,11
engl-420,11
ya-nonfiction,11
genre-graphic-novel,11
cultural,11
europe,11
comics-graphics-etc,11
2010s,11
read-harder-2018,11
comics-and-manga,11
read-2018,11
classics,11
from-the-library,11
author-of-color,11
2020-books,11
antiracism,11
five-star-books,11
multicultural,11
top-shelf,11
2009,11
format-graphic-novel,11
african-american-literature,11
black-lives-matter,11
own-it,10
british,10
world-war-ii,10
graphic-manga,10
war,10
comic-graphic,10
death,10
usa,10
art-history,10
2018-reads,10
net-galley,10
2000s,10
graphic-biography,10
english-420,10
english,10
abandoned,10
graphic-novels-and-graphic-nonfic,10
5-star-books,10
favorite-graphic-novels,10
aoc,10
project-lit,10
diverse-characters,10
gn-art-bio,10
gn-music,10
2017-favorites,10
author-black,10
alabama,10
beatles,10
canada,10
artsy,9
physics,9
adults,9
history-historical,9
library-loan,9
gn-political,9
2023-read,9
graphic-novels-etc,9
home-library,9
read-for-school,9
memoir-and-biography,9
comics-all,9
2018-read,9
educational,9
informational,9
dark,9
autobiography-and-memoir,9
2018-read-harder-challenge,9
ya-books,9
books-read-in-2017,9
california,9
read-nonfiction,9
asia,9
historical-nonfiction,9
based-on-a-true-story,9
bio-and-memoir,9
adventure,9
bipoc-authors,9
books-about-books,9
birds,9
poetry,9
amazon-reviewed,9
entertainment,9
m,9
black-writers,9
libs-678,9
africa,8
library-reads,8
community,8
amexperience,8
biography-and-autobiography,8
read-in-2012,8
memoirs-bios,8
biographical-or-memoir,8
jewish,8
2017-reading-challenge,8
american-author,8
awards,8
type-own-this-edition,8
social-issues,8
2020-releases,8
biography-and-memoirs,8
