Id,Label,Node_Weights
1950s,1950s,15
1960s,1960s,17
19th-century,19th-century,11
2000s,2000s,10
2009,2009,11
2010s,2010s,11
2011,2011,16
2012,2012,50
2013,2013,45
2014,2014,48
2015,2015,64
2016,2016,99
2016-reads,2016-reads,12
2017,2017,252
2017-favorites,2017-favorites,10
2017-reads,2017-reads,24
2018,2018,168
2018-reads,2018-reads,10
2019,2019,187
2019-read,2019-read,12
2019-reads,2019-reads,17
2020,2020,211
2020-books,2020-books,11
2020-read,2020-read,23
2020-reads,2020-reads,19
2021,2021,140
2021-read,2021-read,14
2021-reads,2021-reads,27
2022,2022,146
2022-reads,2022-reads,12
2023,2023,149
2023-reads,2023-reads,19
2024,2024,83
20th-century,20th-century,36
21st-century,21st-century,20
3-stars,3-stars,12
4-stars,4-stars,19
5-star,5-star,25
5-star-books,5-star-books,10
5-stars,5-stars,31
abandoned,abandoned,10
abuse,abuse,14
action,action,12
activism,activism,39
addiction,addiction,12
adult,adult,269
adult-fiction,adult-fiction,12
adult-graphic-novel,adult-graphic-novel,13
adult-graphic-novels,adult-graphic-novels,20
adult-nonfiction,adult-nonfiction,30
adult-non-fiction,adult-non-fiction,24
african-american,african-american,107
african-american-history,african-american-history,18
african-american-lit,african-american-lit,12
african-american-literature,african-american-literature,11
age-adult,age-adult,12
alabama,alabama,10
all-time-favorites,all-time-favorites,13
america,america,36
american,american,31
americana,americana,11
american-history,american-history,108
and-own-exact-edition,and-own-exact-edition,13
animals,animals,13
antiracism,antiracism,11
aoc,aoc,10
arc,arc,98
arcs,arcs,22
art,art,216
art-history,art-history,10
asian,asian,15
asian-american,asian-american,17
author-black,author-black,10
author-of-color,author-of-color,11
authors-of-color,authors-of-color,28
auto-bio,auto-bio,15
autobiographical,autobiographical,13
autobiography,autobiography,115
auto-biography,auto-biography,17
autobiography-biography,autobiography-biography,16
autobiography-biography-memoir,autobiography-biography-memoir,17
autobiography-memoir,autobiography-memoir,21
auto-bio-memoir,auto-bio-memoir,13
award-winner,award-winner,26
award-winners,award-winners,28
bd,bd,17
beatles,beatles,10
bio,bio,35
bio-autobio-memoir,bio-autobio-memoir,19
biographical,biographical,77
biographies,biographies,90
biographies-and-memoirs,biographies-and-memoirs,19
biographies-memoirs,biographies-memoirs,30
biography,biography,1394
biography-and-memoir,biography-and-memoir,49
biography-autobiography,biography-autobiography,43
biography-autobiography-memoir,biography-autobiography-memoir,22
biographymemoir,biographymemoir,12
biography-memoir,biography-memoir,252
biography-memoirs,biography-memoirs,29
biography-or-memoir,biography-or-memoir,19
bio-memoir,bio-memoir,36
bios,bios,28
bios-memoirs,bios-memoirs,22
bipoc,bipoc,25
bipoc-author,bipoc-author,14
black,black,16
black-authors,black-authors,20
black-history,black-history,25
black-lives-matter,black-lives-matter,11
blm,blm,15
book-club,book-club,62
books-i-own,books-i-own,65
borrowed,borrowed,35
borrowed-from-library,borrowed-from-library,15
british,british,10
canada,canada,10
canadian,canadian,19
children,children,16
children-s,children-s,12
civil-rights,civil-rights,113
civil-rights-movement,civil-rights-movement,18
classics,classics,11
comic,comic,84
comic-book,comic-book,16
comic-books,comic-books,77
comic-books-graphic-novels,comic-books-graphic-novels,13
comic-graphic,comic-graphic,10
comic-graphic-novel,comic-graphic-novel,47
comics,comics,1061
comics-and-graphic-novels,comics-and-graphic-novels,124
comics-and-manga,comics-and-manga,11
comics-biography,comics-biography,12
comics-graphic-novel,comics-graphic-novel,14
comics-graphic-novels,comics-graphic-novels,226
comics-graphic-novels-manga,comics-graphic-novels-manga,12
comics-graphics,comics-graphics,19
comics-graphics-etc,comics-graphics-etc,11
comics-manga,comics-manga,19
comics-manga-graphic-novels,comics-manga-graphic-novels,15
coming-of-age,coming-of-age,21
comix,comix,42
contemporary,contemporary,27
crime,crime,66
cultural,cultural,11
cultural-studies,cultural-studies,18
culture,culture,20
death,death,10
digital,digital,48
diverse,diverse,23
diverse-authors,diverse-authors,14
diverse-books,diverse-books,16
diverse-characters,diverse-characters,10
diversity,diversity,48
dnf,dnf,15
ebook,ebook,51
e-book,e-book,17
