Id,Label,Frequency
graphic-novels,graphic-novels,2666
graphic-novel,graphic-novel,2011
biography,biography,1299
comics,comics,991
non-fiction,non-fiction,986
history,history,911
nonfiction,nonfiction,741
memoir,memoir,384
favorites,favorites,295
graphic,graphic,262
2017,2017,252
adult,adult,250
historical,historical,218
art,art,213
biography-memoir,biography-memoir,211
comics-graphic-novels,comics-graphic-novels,205
2018,2018,168
library,library,167
2020,2020,162
graphic-novels-comics,graphic-novels-comics,155
2019,2019,132
historical-fiction,historical-fiction,129
2023,2023,127
2022,2022,126
young-adult,young-adult,120
netgalley,netgalley,116
2021,2021,116
comics-and-graphic-novels,comics-and-graphic-novels,109
african-american,african-american,107
civil-rights,civil-rights,102
graphic-novels-and-comics,graphic-novels-and-comics,99
2016,2016,99
arc,arc,98
american-history,american-history,87
ya,ya,85
memoirs,memoirs,82
biographies,biographies,80
comic,comic,78
autobiography,autobiography,74
comic-books,comic-books,73
2024,2024,72
biographical,biographical,71
music,music,70
true-crime,true-crime,67
own,own,66
2015,2015,64
crime,crime,64
graphics,graphics,63
library-book,library-book,61
owned,owned,61
books-i-own,books-i-own,57
graphicnovels,graphicnovels,55
reviewed,reviewed,55
memoir-biography,memoir-biography,51
science,science,50
2012,2012,50
digital,digital,48
2014,2014,48
graphic-novel-comic,graphic-novel-comic,46
biography-and-memoir,biography-and-memoir,46
gn-bio,gn-bio,45
2013,2013,45
book-club,book-club,45
comic-graphic-novel,comic-graphic-novel,44
library-books,library-books,44
fiction,fiction,43
comix,comix,42
horror,horror,42
graphic-memoir,graphic-memoir,41
fantasy,fantasy,40
politics,politics,39
biography-autobiography,biography-autobiography,37
ebook,ebook,37
graphic-comic-narrative,graphic-comic-narrative,37
diversity,diversity,37
gn,gn,35
graphic-books,graphic-books,35
from-library,from-library,35
feminism,feminism,34
activism,activism,34
america,america,34
bio-memoir,bio-memoir,33
graphic-nonfiction,graphic-nonfiction,32
borrowed,borrowed,32
nonfic,nonfic,31
20th-century,20th-century,31
read-in-2018,read-in-2018,31
graphic-novels-manga,graphic-novels-manga,30
france,france,29
adult-nonfiction,adult-nonfiction,29
bio,bio,29
read-in-2017,read-in-2017,29
graphic-novel-comics,graphic-novel-comics,28
graphic-history,graphic-history,27
favourites,favourites,27
lgbtq,lgbtq,27
social-justice,social-justice,27
teen,teen,26
contemporary,contemporary,26
award-winners,award-winners,26
read-comics,read-comics,25
read-in-2021,read-in-2021,25
bios,bios,25
american,american,25
biography-memoirs,biography-memoirs,25
black-history,black-history,25
giveaways,giveaways,24
2017-reads,2017-reads,24
graphic_novel,graphic_novel,23
graphicnovel,graphicnovel,23
2021-reads,2021-reads,23
non-fic,non-fic,23
award-winner,award-winner,23
arcs,arcs,22
biographies-memoirs,biographies-memoirs,22
read-2022,read-2022,21
graphic-comic,graphic-comic,21
graphic-novel-manga,graphic-novel-manga,21
sequential-art,sequential-art,21
first-reads,first-reads,21
memoir-bio,memoir-bio,21
read-2017,read-2017,21
bios-memoirs,bios-memoirs,20
netgalley-edelweiss,netgalley-edelweiss,20
adult-non-fiction,adult-non-fiction,20
adult-graphic-novels,adult-graphic-novels,20
graphica-and-comix,graphica-and-comix,20
5-star,5-star,20
black-authors,black-authors,20
series,series,20
bipoc,bipoc,20
race,race,20
21st-century,21st-century,19
french,french,19
graphic-non-fiction,graphic-non-fiction,19
graphic_novels,graphic_novels,19
bio-autobio-memoir,bio-autobio-memoir,19
authors-of-color,authors-of-color,19
canadian,canadian,19
graphic-novels-comic-books,graphic-novels-comic-books,18
biography-autobiography-memoir,biography-autobiography-memoir,18
2020-read,2020-read,18
feminist,feminist,18
diverse,diverse,18
civil-rights-movement,civil-rights-movement,18
african-american-history,african-american-history,18
ya-lit,ya-lit,17
comics-manga,comics-manga,17
4-stars,4-stars,17
bd,bd,17
comics-graphics,comics-graphics,17
5-stars,5-stars,17
graphics-comics,graphics-comics,17
young-adult-literature,young-adult-literature,17
biography-or-memoir,biography-or-memoir,17
1960s,1960s,17
multicultural-lit,multicultural-lit,17
edelweiss,edelweiss,16
read-in-2016,read-in-2016,16
graphic-novels-read,graphic-novels-read,16
2011,2011,16
coming-of-age,coming-of-age,16
culture,culture,16
cultural-studies,cultural-studies,16
education,education,16
black,black,16
borrowed-from-library,borrowed-from-library,15
auto-bio,auto-bio,15
read-in-2023,read-in-2023,15
biographies-and-memoirs,biographies-and-memoirs,15
read-in-2019,read-in-2019,15
2023-reads,2023-reads,15
1950s,1950s,15
holocaust,holocaust,15
blm,blm,15
graphix,graphix,14
c-comics,c-comics,14
dnf,dnf,14
read-in-2015,read-in-2015,14
auto-biography,auto-biography,14
autobiography-biography-memoir,autobiography-biography-memoir,14
young-adult-lit,young-adult-lit,14
lgbt,lgbt,14
comic-book,comic-book,13
and-own-exact-edition,and-own-exact-edition,13
comic-books-graphic-novels,comic-books-graphic-novels,13
read-2020,read-2020,13
history-biography,history-biography,13
auto-bio-memoir,auto-bio-memoir,13
public-library,public-library,13
autobiography-memoir,autobiography-memoir,13
animals,animals,13
2020-reads,2020-reads,13
owned-books,owned-books,13
film,film,13
autobiography-biography,autobiography-biography,13
e-book,e-book,13
five-stars,five-stars,13
manga,manga,13
adult-fiction,adult-fiction,12
non-fiction-or-based-on,non-fiction-or-based-on,12
high-school,high-school,12
gn-european,gn-european,12
action,action,12
read-in-2013,read-in-2013,12
2016-reads,2016-reads,12
comics-biography,comics-biography,12
own-physical,own-physical,12
graphic-bio,graphic-bio,12
biographymemoir,biographymemoir,12
age-adult,age-adult,12
addiction,addiction,12
autobiographical,autobiographical,12
comics-manga-graphic-novels,comics-manga-graphic-novels,12
ebooks,ebooks,12
illustrated,illustrated,12
2021-read,2021-read,12
queer,queer,12
diverse-authors,diverse-authors,12
african-american-lit,african-american-lit,12
19th-century,19th-century,11
graphic-sequential-art,graphic-sequential-art,11
engl-420,engl-420,11
graphic-novels-comics-manga,graphic-novels-comics-manga,11
graphic-novel-or-comic,graphic-novel-or-comic,11
abuse,abuse,11
adult-graphic-novel,adult-graphic-novel,11
3-stars,3-stars,11
2019-reads,2019-reads,11
europe,europe,11
read-harder-2018,read-harder-2018,11
kindle,kindle,11
read-in-2022,read-in-2022,11
all-time-favorites,all-time-favorites,11
comics-graphic-novel,comics-graphic-novel,11
read-2018,read-2018,11
classics,classics,11
2009,2009,11
format-graphic-novel,format-graphic-novel,11
diverse-books,diverse-books,11
lgbtqia,lgbtqia,11
african-american-literature,african-american-literature,11
middle-grade,middle-grade,11
poc-authors,poc-authors,11
racism,racism,11
poc,poc,11
black-lives-matter,black-lives-matter,11
british,british,10
graphic-manga,graphic-manga,10
americana,americana,10
ya-nonfiction,ya-nonfiction,10
children,children,10
genre-graphic-novel,genre-graphic-novel,10
hoopla,hoopla,10
memoirs-biographies,memoirs-biographies,10
death,death,10
art-history,art-history,10
2018-reads,2018-reads,10
net-galley,net-galley,10
2000s,2000s,10
comics-graphics-etc,comics-graphics-etc,10
manga-graphic-novels,manga-graphic-novels,10
2010s,2010s,10
comics-and-manga,comics-and-manga,10
2019-read,2019-read,10
graphic-biography,graphic-biography,10
english-420,english-420,10
abandoned,abandoned,10
memoir-autobiography,memoir-autobiography,10
comics-graphic-novels-manga,comics-graphic-novels-manga,10
gn-art-bio,gn-art-bio,10
bipoc-author,bipoc-author,10
gn-music,gn-music,10
top-shelf,top-shelf,10
2017-favorites,2017-favorites,10
author-black,author-black,10
alabama,alabama,10
beatles,beatles,10
canada,canada,10
artsy,artsy,9
2022-reads,2022-reads,9
physics,physics,9
history-historical,history-historical,9
graphic-novels-and-manga,graphic-novels-and-manga,9
own-it,own-it,9
gn-political,gn-political,9
2023-read,2023-read,9
graphic-novels-or-comics,graphic-novels-or-comics,9
read-in-english,read-in-english,9
comic-graphic,comic-graphic,9
read-for-school,read-for-school,9
comics-all,comics-all,9
2018-read,2018-read,9
informational,informational,9
dark,dark,9
autobiography-and-memoir,autobiography-and-memoir,9
2018-read-harder-challenge,2018-read-harder-challenge,9
english,english,9
graphic-novels-and-graphic-nonfic,graphic-novels-and-graphic-nonfic,9
books-read-in-2017,books-read-in-2017,9
favorite-graphic-novels,favorite-graphic-novels,9
books-about-books,books-about-books,9
5-star-books,5-star-books,9
birds,birds,9
poetry,poetry,9
amazon-reviewed,amazon-reviewed,9
entertainment,entertainment,9
m,m,9
black-writers,black-writers,9
antiracism,antiracism,9
five-star-books,five-star-books,9
libs-678,libs-678,9
africa,africa,8
adults,adults,8
family,family,8
read-in-2012,read-in-2012,8
biographical-or-memoir,biographical-or-memoir,8
wwii,wwii,8
jewish,jewish,8
2017-reading-challenge,2017-reading-challenge,8
american-author,american-author,8
awards,awards,8
type-own-this-edition,type-own-this-edition,8
social-issues,social-issues,8
2020-releases,2020-releases,8
finished,finished,8
read-in-2020,read-in-2020,8
mental-illness,mental-illness,8
graphic-memoirs,graphic-memoirs,8
award-winning,award-winning,8
age-young-adult,age-young-adult,8
aoc,aoc,8
adventure,adventure,8
2017-read,2017-read,8
black-author,black-author,8
author-of-color,author-of-color,8
info-bios,info-bios,8
blacklivesmatter,blacklivesmatter,8
middle-school,middle-school,8
african-american-author,african-american-author,8
racial-justice,racial-justice,8
bipoc-authors,bipoc-authors,8
read-nonfiction,read-nonfiction,8
multicultural,multicultural,8
bio-and-memoir,bio-and-memoir,8
library-reads,library-reads,7
library-loan,library-loan,7
amexperience,amexperience,7
netedel-2024,netedel-2024,7
biography-and-autobiography,biography-and-autobiography,7
memoirs-bios,memoirs-bios,7
graphic-novels-etc,graphic-novels-etc,7
translated,translated,7
2013-reads,2013-reads,7
war,war,7
home-library,home-library,7
graphic-novel-or-comics,graphic-novel-or-comics,7
hub-challenge-2013,hub-challenge-2013,7
memoir-and-biography,memoir-and-biography,7
reviews,reviews,7
usa,usa,7
read-non-fiction,read-non-fiction,7
read-2016,read-2016,7
other-comics,other-comics,7
picture-books,picture-books,7
ya-books,ya-books,7
from-the-library,from-the-library,7
read-2019,read-2019,7
germany,germany,7
loeg-archives,loeg-archives,7
librarybook,librarybook,7
graphically-illustrated,graphically-illustrated,7
libraries-are-great,libraries-are-great,7
highly-recommend,highly-recommend,7
children-s,children-s,7
graphic-format,graphic-format,7
comics-indy,comics-indy,7
russia,russia,7
comics-graphic,comics-graphic,7
diverse-characters,diverse-characters,7
school,school,7
graphic-narratives,graphic-narratives,7
2023-books,2023-books,7
based-on-a-true-story,based-on-a-true-story,7
wrestling,wrestling,7
community,community,6
edelweiss-2024,edelweiss-2024,6
friendship,friendship,6
music-dance,music-dance,6
5-star-reads,5-star-reads,6
2024-reads,2024-reads,6
lieberry_books,lieberry_books,6
manga-graphic-novel,manga-graphic-novel,6
grown-up,grown-up,6
history-us-history,history-us-history,6
cultural,cultural,6
art-comics,art-comics,6
creepy,creepy,6
favorite-books,favorite-books,6
do-not-own,do-not-own,6
art-and-artists,art-and-artists,6
staff-picks,staff-picks,6
done,done,6
gaming,gaming,6
jims-reviews,jims-reviews,6
comicbooks,comicbooks,6
manga-and-graphic-novels,manga-and-graphic-novels,6
abrams,abrams,6
serial-killers,serial-killers,6
comics-indie-graphic-novels,comics-indie-graphic-novels,6
2021-books,2021-books,6
graphic-novels-nonfiction,graphic-novels-nonfiction,6
read-in-2014,read-in-2014,6
grown-up-books,grown-up-books,6
books-11-20,books-11-20,6
bios-and-memoirs,bios-and-memoirs,6
funny-books,funny-books,6
libs-642-book-record,libs-642-book-record,6
mental-health,mental-health,6
ya-graphic-novel,ya-graphic-novel,6
memoir-and-bio,memoir-and-bio,6
my-finished-graphic-novels,my-finished-graphic-novels,6
agatha-christie,agatha-christie,6
just-give-me-some-truth,just-give-me-some-truth,6
david-bowie,david-bowie,6
2020-books,2020-books,6
library-gifts,library-gifts,6
histories,histories,6
male-author,male-author,6
celebrity,celebrity,6
non-superhero-comics,non-superhero-comics,6
abrams-books,abrams-books,6
read-in-french,read-in-french,6
black-studies,black-studies,6
highly-recommended,highly-recommended,6
children-s-lit,children-s-lit,6
project-lit,project-lit,6
race-relations,race-relations,6
anti-racist,anti-racist,6
author-poc,author-poc,6
historical-nonfiction,historical-nonfiction,6
diverse-ya,diverse-ya,6
non-fiction-memoir,non-fiction-memoir,6
arc-arc-arc,arc-arc-arc,5
european,european,5
gnvl-comic,gnvl-comic,5
gn-war,gn-war,5
read-2021,read-2021,5
teen-graphic-novels,teen-graphic-novels,5
dude-writer,dude-writer,5
young-adult-graphic-novels,young-adult-graphic-novels,5
want-to-buy,want-to-buy,5
read-2024,read-2024,5
ya-graphic-novels,ya-graphic-novels,5
tween,tween,5
mg-graphic-novel,mg-graphic-novel,5
graphic-novels-2017,graphic-novels-2017,5
netgalley-arc,netgalley-arc,5
memoirs-and-bios,memoirs-and-bios,5
movies,movies,5
grahic-novels,grahic-novels,5
a-owns,a-owns,5
bc-powells-seqart,bc-powells-seqart,5
biography-and-memoirs,biography-and-memoirs,5
pop-culture,pop-culture,5
read-graphic-novels,read-graphic-novels,5
quick-reads,quick-reads,5
gothamcitypubliclibrary-comics,gothamcitypubliclibrary-comics,5
indie-comics,indie-comics,5
read-in-2024,read-in-2024,5
art-ish,art-ish,5
teaching,teaching,5
arts-and-photography,arts-and-photography,5
nf,nf,5
library-finds,library-finds,5
books-read-in-2024,books-read-in-2024,5
bullying,bullying,5
graphic-book,graphic-book,5
comics-graphic-novels-and-memoirs,comics-graphic-novels-and-memoirs,5
eng-430,eng-430,5
comics-non-fiction,comics-non-fiction,5
eng-356,eng-356,5
my-books,my-books,5
bookclub,bookclub,5
5-star-nonfiction,5-star-nonfiction,5
