Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"true story",78,33,236.05319,76.82262,1.901
"beautiful book",39,7,118.02660,16.29571,1.875
"margaret sanger",42,12,127.10557,27.93550,1.775
"great job",55,22,166.44777,51.21508,1.762
"great introduction",30,6,90.78969,13.96775,1.674
"guy delisle",40,14,121.05292,32.59141,1.667
"great read",43,17,130.13188,39.57529,1.649
"great story",29,6,87.76337,13.96775,1.648
"birth control",29,6,87.76337,13.96775,1.648
"christophe andre",25,3,75.65807,6.98387,1.642
"held hostage",26,4,78.68439,9.31183,1.635
"incredible story",20,0,60.52646,0.00000,1.605
"beautiful graphic novel",22,2,66.57910,4.65592,1.592
"amazing book",23,4,69.60543,9.31183,1.552
"fascinating read",21,3,63.55278,6.98387,1.529
"brian epstein",39,20,118.02660,46.55916,1.488
"great graphic novel",26,9,78.68439,20.95162,1.477
"first graphic novel",29,12,87.76337,27.93550,1.468
"christophe andré",21,5,63.55278,11.63979,1.465
"fascinating story",21,5,63.55278,11.63979,1.465
"peter bagge",17,2,51.44749,4.65592,1.447
"nat turner",48,30,145.26350,69.83875,1.444
"beatles fan",29,13,87.76337,30.26345,1.441
"great book",53,35,160.39511,81.47853,1.435
"artemisia gentileschi",16,2,48.42117,4.65592,1.418
"van gogh",42,26,127.10557,60.52691,1.415
"great way",31,16,93.81601,37.24733,1.412
"gorgeous illustration",13,0,39.34220,0.00000,1.393
"glass town",45,30,136.18454,69.83875,1.391
"fascinating look",19,6,57.50014,13.96775,1.382
"rod serling",44,30,133.15820,69.83875,1.373
"long time",30,17,90.78969,39.57529,1.367
"heartbreaking story",13,1,39.34220,2.32796,1.362
"phoolan devi",14,2,42.36852,4.65592,1.360
"wonderful graphic novel",15,3,45.39484,6.98387,1.359
"isabel greenberg",17,5,51.44749,11.63979,1.357
"fascinating life",17,5,51.44749,11.63979,1.357
"real life",45,32,136.18454,74.49466,1.354
"historical fiction",27,15,81.71072,34.91937,1.347
"wonderful story",12,1,36.31588,2.32796,1.332
"fantastic graphic novel",12,1,36.31588,2.32796,1.332
"amazing story",13,2,39.34220,4.65592,1.331
"excellent read",13,2,39.34220,4.65592,1.331
"illustrated graphic novel",14,3,42.36852,6.98387,1.331
"van gogh''s life",15,4,45.39484,9.31183,1.330
"fun way",18,7,54.47381,16.29571,1.328
"graphic novel format",65,53,196.71100,123.38177,1.328
"first atomic bomb",21,10,63.55278,23.27958,1.327
"manhattan project",33,22,99.86866,51.21508,1.322
"patricia highsmith",34,23,102.89498,53.54304,1.321
"interesting read",44,33,133.15820,76.82262,1.319
"graphic novel biography",56,45,169.47409,104.75811,1.316
"graphic novel",1472,1450,4454.74756,3375.53931,1.311
"excellent book",12,2,36.31588,4.65592,1.303
"planned parenthood",13,3,39.34220,6.98387,1.302
"first book",13,3,39.34220,6.98387,1.302
"piece of art",13,3,39.34220,6.98387,1.302
"amazing job",13,3,39.34220,6.98387,1.302
"excellent job",14,4,42.36852,9.31183,1.302
"wonderful book",15,5,45.39484,11.63979,1.302
"bowie fan",17,7,51.44749,16.29571,1.302
"enjoyable read",21,11,63.55278,25.60754,1.302
"vincent van gogh",22,12,66.57910,27.93550,1.302
"concentration camp",22,12,66.57910,27.93550,1.302
"novel biography",56,46,169.47409,107.08607,1.301
"novel format",65,55,196.71100,128.03769,1.301
"beautiful illustration",27,18,81.71072,41.90324,1.281
"amazing graphic novel",11,2,33.28955,4.65592,1.274
"atomic bomb",74,67,223.94789,155.97319,1.266
"historical figure",34,26,102.89498,60.52691,1.264
"serial killer",19,11,57.50014,25.60754,1.254
"amazing art",13,5,39.34220,11.63979,1.248
"fifth beatle",12,4,36.31588,9.31183,1.247
"piece of history",12,4,36.31588,9.31183,1.247
"great overview",11,3,33.28955,6.98387,1.246
"great biography",11,3,33.28955,6.98387,1.246
"gorgeous art",11,3,33.28955,6.98387,1.246
"graciela iturbide",34,27,102.89498,62.85487,1.246
"graphic memoir",34,27,102.89498,62.85487,1.246
"great man",9,1,27.23691,2.32796,1.243
"excellent biography",9,1,27.23691,2.32796,1.243
"crime fan",8,0,24.21058,0.00000,1.242
"fighter pilot",8,0,24.21058,0.00000,1.242
"young daughter",8,0,24.21058,0.00000,1.242
"true crime fan",8,0,24.21058,0.00000,1.242
"art museum",8,0,24.21058,0.00000,1.242
"worth reading",24,17,72.63175,39.57529,1.237
"same time",38,32,115.00027,74.49466,1.232
"many thing",16,9,48.42117,20.95162,1.227
"interesting book",13,6,39.34220,13.96775,1.223
"jeff buckley",13,6,39.34220,13.96775,1.223
"man''s life",12,5,36.31588,11.63979,1.221
"informative read",12,5,36.31588,11.63979,1.221
"fantastic job",12,5,36.31588,11.63979,1.221
"fascinating woman",11,4,33.28955,9.31183,1.219
"full life",10,3,30.26323,6.98387,1.218
"fan of the twilight",10,3,30.26323,6.98387,1.218
"cash''s life",9,2,27.23691,4.65592,1.216
"frank family",8,1,24.21058,2.32796,1.214
"amazing man",8,1,24.21058,2.32796,1.214
