Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"quick read",103,53,410.53848,78.65427,2.858
"graphic novel",1539,1461,6134.16260,2168.18652,2.749
"great book",65,22,259.07770,32.64894,2.707
"beautiful book",53,11,211.24796,16.32447,2.676
"great read",51,10,203.27634,14.84043,2.641
"interesting read",54,21,215.23376,31.16490,2.403
"good book",53,23,211.24796,34.13298,2.320
"graciela iturbide",38,6,151.46080,8.90426,2.309
"good read",42,16,167.40404,23.74469,2.161
"beautiful illustration",34,7,135.51756,10.38830,2.134
"enjoyable read",35,9,139.50337,13.35639,2.113
"great introduction",32,6,127.54594,8.90426,2.089
"first graphic novel",32,7,127.54594,10.38830,2.061
"amazing book",27,1,107.61688,1.48404,2.046
"great graphic novel",30,5,119.57432,7.42021,2.044
"vincent van gogh",33,10,131.53175,14.84043,2.016
"fun way",26,1,103.63107,1.48404,2.007
"beautiful art",37,17,147.47499,25.22873,1.976
"novel format",63,55,251.10606,81.62235,1.933
"graphic novel format",62,54,247.12025,80.13831,1.927
"art style",132,153,526.12701,227.05855,1.914
"beatles fan",31,12,123.56013,17.80851,1.898
"graphic novel biography",61,55,243.13445,81.62235,1.889
"great way",31,13,123.56013,19.29256,1.874
"good graphic novel",28,9,111.60269,13.35639,1.867
"richard feynman",32,15,127.54594,22.26064,1.861
"novel biography",61,57,243.13445,84.59044,1.859
"manhattan project",37,23,147.47499,34.13298,1.845
"van gogh",38,25,151.46080,37.10107,1.834
"beautiful artwork",27,9,107.61688,13.35639,1.832
"david bowie",26,8,103.63107,11.87234,1.820
"brian epstein",40,29,159.43242,43.03724,1.814
"copy of this book",34,21,135.51756,31.16490,1.796
"art work",42,33,167.40404,48.97341,1.795
"agatha christie",32,19,127.54594,28.19681,1.775
"comic strip",39,30,155.44661,44.52129,1.768
"patricia highsmith",37,27,147.47499,40.06916,1.767
"wonderful book",19,0,75.73040,0.00000,1.757
"great illustration",18,0,71.74459,0.00000,1.717
"beautiful graphic novel",19,2,75.73040,2.96809,1.707
"isabel greenberg",20,4,79.71621,5.93617,1.696
"little book",20,4,79.71621,5.93617,1.696
"johnny cash",33,25,131.53175,37.10107,1.689
"great art",31,22,123.56013,32.64894,1.685
"great job",38,34,151.46080,50.45745,1.671
"honest review",49,52,195.30472,77.17023,1.667
"great story",27,17,107.61688,25.22873,1.658
"big fan",31,25,123.56013,37.10107,1.631
"fascinating life",19,6,75.73040,8.90426,1.614
"illustrated graphic novel",17,3,67.75878,4.45213,1.606
"rod serling",36,35,143.48918,51.94150,1.603
"non-fiction graphic novel",21,10,83.70202,14.84043,1.600
"fascinating read",15,0,59.78716,0.00000,1.598
"bowie fan",20,9,79.71621,13.35639,1.585
"easy read",21,11,83.70202,16.32447,1.579
"comic book",98,142,390.60944,210.73409,1.579
"excellent read",15,1,59.78716,1.48404,1.575
"long time",27,22,107.61688,32.64894,1.565
"frederick douglass",17,5,67.75878,7.42021,1.562
"fascinating story",18,7,71.74459,10.38830,1.556
"wonderful story",15,2,59.78716,2.96809,1.552
"brooklyn bridge",17,6,67.75878,8.90426,1.540
"informative read",14,1,55.80135,1.48404,1.535
"amazing story",14,1,55.80135,1.48404,1.535
"marcus aurelius",20,12,79.71621,17.80851,1.525
"goodreads giveaway",17,7,67.75878,10.38830,1.520
"margaret sanger",23,18,91.67365,26.71277,1.513
"graphic biography",117,186,466.33984,276.03195,1.506
"feynman''s life",17,8,67.75878,11.87234,1.500
"glass town",42,53,167.40404,78.65427,1.497
"historical fiction",24,21,95.65945,31.16490,1.492
"wonderful graphic novel",14,3,55.80135,4.45213,1.492
"exchange for an honest review",35,41,139.50337,60.84576,1.489
"huge fan",26,25,103.63107,37.10107,1.485
"amazing graphic novel",12,0,47.82973,0.00000,1.478
"charlie parker",12,0,47.82973,0.00000,1.478
"excellent book",14,4,55.80135,5.93617,1.471
"graphic bio",14,4,55.80135,5.93617,1.471
"andy warhol",21,17,83.70202,25.22873,1.467
"beautiful drawing",14,5,55.80135,7.42021,1.450
"novel form",28,31,111.60269,46.00533,1.449
"graphic novel form",28,31,111.60269,46.00533,1.449
"atomic bomb",56,83,223.20538,123.17555,1.448
"ziggy stardust",17,11,67.75878,16.32447,1.442
"fantastic book",11,0,43.84391,0.00000,1.438
"illustration style",19,15,75.73040,22.26064,1.437
"full review",12,2,47.82973,2.96809,1.436
"excellent graphic novel",12,2,47.82973,2.96809,1.436
"bronte sister",12,2,47.82973,2.96809,1.436
"gorgeous art",13,4,51.81554,5.93617,1.433
"great artwork",15,8,59.78716,11.87234,1.428
"interesting book",16,10,63.77297,14.84043,1.426
"high school",34,44,135.51756,65.29788,1.425
"art history",20,18,79.71621,26.71277,1.418
"interesting way",20,18,79.71621,26.71277,1.418
"great overview",11,1,43.84391,1.48404,1.417
"fantastic graphic novel",11,1,43.84391,1.48404,1.417
"love story",21,20,83.70202,29.68086,1.417
"fantastic job",13,5,51.81554,7.42021,1.413
"gorgeous illustration",11,2,43.84391,2.96809,1.397
