Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"dalai lama",131,9,304.96249,27.23691,3.183
"digital review",45,0,104.75811,0.00000,2.048
"digital review copy",45,0,104.75811,0.00000,2.048
"review copy of this book",41,1,95.44628,3.02632,1.897
"review copy",60,13,139.67749,39.34220,1.720
"good introduction",33,4,76.82262,12.10529,1.577
"copy of this book",69,22,160.62910,66.57910,1.565
"leonard cohen",23,2,53.54304,6.05265,1.448
"eddie gein done",30,7,69.83875,21.18426,1.401
"book from the publisher",20,2,46.55916,6.05265,1.382
"andy warhol",30,8,69.83875,24.21058,1.367
"fort morgan",15,0,34.91937,0.00000,1.349
"chinese government",14,0,32.59141,0.00000,1.326
"malcolm x",31,10,72.16670,30.26323,1.322
"russian revolution",15,1,34.91937,3.02632,1.310
"life event",16,2,37.24733,6.05265,1.294
"good book",53,24,123.38177,72.63175,1.294
"professional wrestling",29,10,67.51079,30.26323,1.286
"johnny cash",50,23,116.39790,69.60543,1.276
"wikipedia article",15,2,34.91937,6.05265,1.272
"first half",23,7,53.54304,21.18426,1.267
"eric powell",21,6,48.88712,18.15794,1.260
"surface level",14,2,32.59141,6.05265,1.250
"good overview",17,4,39.57529,12.10529,1.245
"comics biography",18,5,41.90324,15.13161,1.233
"harvey pekar",13,2,30.26345,6.05265,1.228
"famous artist",13,2,30.26345,6.05265,1.228
"bad thing",13,2,30.26345,6.05265,1.228
"youre look",11,1,25.60754,3.02632,1.219
"wikipedia page",11,1,25.60754,3.02632,1.219
"dungeons dragon",11,1,25.60754,3.02632,1.219
"time jump",11,1,25.60754,3.02632,1.219
"last night",9,0,20.95162,0.00000,1.210
"jack kerouac",9,0,20.95162,0.00000,1.210
"janis joplin",9,0,20.95162,0.00000,1.210
"cohens life",9,0,20.95162,0.00000,1.210
"easy read",20,7,46.55916,21.18426,1.209
"speech bubble",15,4,34.91937,12.10529,1.204
"andy kaufman",32,15,74.49466,45.39484,1.200
"interesting look",21,8,48.88712,24.21058,1.199
"first person",21,8,48.88712,24.21058,1.199
"johnny appleseed",10,1,23.27958,3.02632,1.197
"captain america",10,1,23.27958,3.02632,1.197
"i love",10,1,23.27958,3.02632,1.197
"mixed feeling",10,1,23.27958,3.02632,1.197
"advance copy",10,1,23.27958,3.02632,1.197
"quick overview",10,1,23.27958,3.02632,1.197
"good start",13,3,30.26345,9.07897,1.194
"rest of the book",16,5,37.24733,15.13161,1.192
"several time",16,5,37.24733,15.13161,1.192
"andre''s life",22,9,51.21508,27.23691,1.188
"andre the giant",8,0,18.62366,0.00000,1.186
"great artist",14,4,32.59141,12.10529,1.183
"other word",9,1,20.95162,3.02632,1.174
"art masters series",9,1,20.95162,3.02632,1.174
"rolling stone",12,3,27.93550,9.07897,1.173
"star rating",15,5,34.91937,15.13161,1.172
"many character",15,5,34.91937,15.13161,1.172
"graphic format",27,13,62.85487,39.34220,1.169
"nick cave",27,13,62.85487,39.34220,1.169
"i didnt",7,0,16.29571,0.00000,1.163
"tintin book",7,0,16.29571,0.00000,1.163
"jazz musician",7,0,16.29571,0.00000,1.163
"stacks episode",7,0,16.29571,0.00000,1.163
"putin''s rise",7,0,16.29571,0.00000,1.163
"factual information",7,0,16.29571,0.00000,1.163
"kenneth patchen",7,0,16.29571,0.00000,1.163
"youre go",7,0,16.29571,0.00000,1.163
"cohen''s life",7,0,16.29571,0.00000,1.163
"audubons life",7,0,16.29571,0.00000,1.163
"other time",10,2,23.27958,6.05265,1.162
"whole lot",13,4,30.26345,12.10529,1.162
"new york",16,6,37.24733,18.15794,1.162
"harold schechter",17,7,39.57529,21.18426,1.152
"young age",17,7,39.57529,21.18426,1.152
"other hand",14,5,32.59141,15.13161,1.152
"whole life",14,5,32.59141,15.13161,1.152
"lon chaney",14,5,32.59141,15.13161,1.152
"real person",11,3,25.60754,9.07897,1.152
"fan of the art",11,3,25.60754,9.07897,1.152
"wrestling career",11,3,25.60754,9.07897,1.152
"andres life",8,1,18.62366,3.02632,1.151
"sequential art",8,1,18.62366,3.02632,1.151
"only way",8,1,18.62366,3.02632,1.151
"graphic novel version",8,1,18.62366,3.02632,1.151
"novel version",8,1,18.62366,3.02632,1.151
"bowies life",8,1,18.62366,3.02632,1.151
"arc of this book",8,1,18.62366,3.02632,1.151
"drug abuse",8,1,18.62366,3.02632,1.151
"beat generation",21,10,48.88712,30.26323,1.143
"real people",18,8,41.90324,24.21058,1.142
"full review",15,6,34.91937,18.15794,1.142
"story line",15,6,34.91937,18.15794,1.142
"bit confuse",9,2,20.95162,6.05265,1.140
"black panther",6,0,13.96775,0.00000,1.140
"book isnt",6,0,13.96775,0.00000,1.140
"historical book",6,0,13.96775,0.00000,1.140
"i dont",6,0,13.96775,0.00000,1.140
"interesting choice",6,0,13.96775,0.00000,1.140
"main story",6,0,13.96775,0.00000,1.140
