Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"concentration camp",78,2,115.75534,7.97162,1.998
"khmer rouge",83,4,123.17555,15.94324,1.925
"quiz kid",63,3,93.49470,11.95743,1.728
"dalai lama",133,20,197.37770,79.71621,1.655
"christophe andré",38,0,56.39363,0.00000,1.564
"stan lee",80,10,118.72343,39.85810,1.564
"family tree",36,0,53.42554,0.00000,1.534
"malcolm x",43,2,63.81384,7.97162,1.517
"nat turner",92,15,136.53194,59.78716,1.480
"year of the rabbit",31,0,46.00533,0.00000,1.460
"ed gein",74,11,109.81917,43.84391,1.459
"family member",33,1,48.97341,3.98581,1.433
"many people",54,7,80.13831,27.90067,1.408
"van sciver",35,2,51.94150,7.97162,1.407
"eddie gein done",31,1,46.00533,3.98581,1.404
"united states",45,5,66.78193,19.92905,1.391
"billie holiday",43,5,63.81384,19.92905,1.366
"held hostage",35,3,51.94150,11.95743,1.357
"other hand",24,0,35.61703,0.00000,1.356
"phnom penh",23,0,34.13298,0.00000,1.341
"joel kupperman",30,2,44.52129,7.97162,1.339
"world war ii",60,11,89.04257,43.84391,1.314
"khmer rouge regime",21,0,31.16490,0.00000,1.312
"chinese government",19,0,28.19681,0.00000,1.282
"few page",53,10,78.65427,39.85810,1.277
"slave rebellion",25,2,37.10107,7.97162,1.270
"white man",18,0,26.71277,0.00000,1.267
"refugee camp",21,1,31.16490,3.98581,1.261
"only thing",24,2,35.61703,7.97162,1.256
"world war",44,8,65.29788,31.88648,1.253
"jewish people",17,0,25.22873,0.00000,1.252
"several time",30,4,44.52129,15.94324,1.246
"silence of the lambs",23,2,34.13298,7.97162,1.242
"whole book",33,5,48.97341,19.92905,1.242
"many time",36,6,53.42554,23.91486,1.238
"samia yusuf omar",16,0,23.74469,0.00000,1.237
"held captive",16,0,23.74469,0.00000,1.237
"soviet union",16,0,23.74469,0.00000,1.237
"hard time",29,4,43.03724,15.94324,1.234
"russian revolution",19,1,28.19681,3.98581,1.233
"vladimir putin",25,3,37.10107,11.95743,1.225
"fort morgan",15,0,22.26064,0.00000,1.223
"jack kirby",28,4,41.55320,15.94324,1.221
"own right",18,1,26.71277,3.98581,1.219
"other people",54,12,80.13831,47.82973,1.219
"many character",21,2,31.16490,7.97162,1.215
"new york",27,4,40.06916,15.94324,1.208
"tian veasna",14,0,20.77660,0.00000,1.208
"borders administrator",14,0,20.77660,0.00000,1.208
"harrowing experience",14,0,20.77660,0.00000,1.208
"wikipedia article",17,1,25.22873,3.98581,1.204
"other woman",17,1,25.22873,3.98581,1.204
"russian history",26,4,38.58511,15.94324,1.195
"lot of people",26,4,38.58511,15.94324,1.195
"civil war",26,4,38.58511,15.94324,1.195
"other word",13,0,19.29256,0.00000,1.193
"group of people",13,0,19.29256,0.00000,1.193
"wikipedia page",13,0,19.29256,0.00000,1.193
"leonard cohen",29,5,43.03724,19.92905,1.193
"life event",16,1,23.74469,3.98581,1.190
"star rating",16,1,23.74469,3.98581,1.190
"cold war",19,2,28.19681,7.97162,1.187
"texas chainsaw massacre",19,2,28.19681,7.97162,1.187
"own life",19,2,28.19681,7.97162,1.187
"talking head",12,0,17.80851,0.00000,1.178
"cambodian genocide",12,0,17.80851,0.00000,1.178
"secret police",12,0,17.80851,0.00000,1.178
"mohammed el-gharani",12,0,17.80851,0.00000,1.178
"extended family",12,0,17.80851,0.00000,1.178
"middle of the night",12,0,17.80851,0.00000,1.178
"same thing",15,1,22.26064,3.98581,1.176
"other country",15,1,22.26064,3.98581,1.176
"male character",15,1,22.26064,3.98581,1.176
"otto frank",15,1,22.26064,3.98581,1.176
"happy ending",21,3,31.16490,11.95743,1.172
"young age",21,3,31.16490,11.95743,1.172
"young adult",27,5,40.06916,19.92905,1.168
"professional wrestling",30,6,44.52129,23.91486,1.166
"young man",30,6,44.52129,23.91486,1.166
"sad life",11,0,16.32447,0.00000,1.163
"buffalo bill",11,0,16.32447,0.00000,1.163
"author''s note",11,0,16.32447,0.00000,1.163
"many other",11,0,16.32447,0.00000,1.163
"small town",11,0,16.32447,0.00000,1.163
"drug abuse",11,0,16.32447,0.00000,1.163
"joseph smith",39,9,57.87767,35.87230,1.162
"british spy",14,1,20.77660,3.98581,1.161
"black woman",14,1,20.77660,3.98581,1.161
"multiple time",14,1,20.77660,3.98581,1.161
"first place",20,3,29.68086,11.95743,1.158
"speech bubble",23,4,34.13298,15.94324,1.157
"christophe andre",26,5,38.58511,19.92905,1.156
"real people",29,6,43.03724,23.91486,1.154
"first person",32,7,47.48937,27.90067,1.153
"saudi arabia",10,0,14.84043,0.00000,1.148
"innocent people",10,0,14.84043,0.00000,1.148
"las vegas",10,0,14.84043,0.00000,1.148
"few month",10,0,14.84043,0.00000,1.148
"entire story",10,0,14.84043,0.00000,1.148
"white woman",10,0,14.84043,0.00000,1.148
