Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"highly",255,43,771.71234,100.10220,4.356
"fascinating",331,110,1001.71289,256.07538,3.094
"absolutely",198,70,599.21198,162.95706,2.659
"amazing",330,141,998.68658,328.24210,2.566
"beautifully",180,71,544.73816,165.28502,2.430
"stunning",107,35,323.81656,81.47853,2.335
"incredibly",113,40,341.97449,93.11832,2.289
"christophe",110,40,332.89554,93.11832,2.242
"incredible",160,69,484.21167,160.62910,2.242
"excellent",235,114,711.18591,265.38721,2.220
"wonderful",219,106,662.76471,246.76355,2.200
"bring",197,95,596.18561,221.15602,2.168
"heartbreaking",70,19,211.84261,44.23120,2.162
"sanger",100,39,302.63229,90.79037,2.110
"recommend",450,261,1361.84534,607.59705,2.066
"haft",43,5,130.13188,11.63979,2.061
"fantastic",165,82,499.34329,190.89256,2.060
"wonderfully",63,19,190.65834,44.23120,2.015
"gorgeous",125,59,378.29037,137.34953,2.015
"adore",39,4,118.02660,9.31183,1.995
"bagge",54,15,163.42143,34.91937,1.952
"wow",90,39,272.36908,90.79037,1.952
"phenomenal",43,8,130.13188,18.62366,1.940
"hostage",108,53,326.84286,123.38177,1.911
"brilliantly",34,3,102.89498,6.98387,1.897
"powerful",114,58,345.00082,135.02158,1.893
"brilliant",114,59,345.00082,137.34953,1.875
"rape",37,6,111.97395,13.96775,1.860
"thoroughly",57,20,172.50041,46.55916,1.859
"brian",89,43,269.34274,100.10220,1.846
"epstein",83,39,251.18480,90.79037,1.841
"disturbing",63,25,190.65834,58.19895,1.837
"beautiful",474,318,1434.47705,740.29065,1.826
"margaret",51,18,154.34247,41.90324,1.792
"anyone",192,121,581.05402,281.68292,1.784
"greenberg",56,22,169.47409,51.21508,1.782
"love",1182,844,3577.11377,1964.79663,1.781
"serling",101,55,305.65863,128.03769,1.779
"fabulous",32,5,96.84233,11.63979,1.763
"deeply",61,27,184.60570,62.85487,1.748
"phoolan",30,4,90.78969,9.31183,1.745
"horror",85,45,257.23746,104.75811,1.745
"gogh",110,64,332.89554,148.98932,1.739
"nazi",47,17,142.23718,39.57529,1.736
"delisle",96,54,290.52701,125.70974,1.730
"torture",32,6,96.84233,13.96775,1.727
"delightful",33,7,99.86866,16.29571,1.719
"kidnap",63,30,190.65834,69.83875,1.711
"highsmith",89,50,269.34274,116.39790,1.707
"surprise",87,49,263.29010,114.06995,1.697
"horrify",36,10,108.94762,23.27958,1.695
"artemisia",58,27,175.52673,62.85487,1.692
"captivating",41,14,124.07924,32.59141,1.690
"inspiring",54,24,163.42143,55.87099,1.690
"jeff",43,16,130.13188,37.24733,1.677
"truly",134,87,405.52728,202.53235,1.671
"survive",62,31,187.63202,72.16670,1.671
"great",923,702,2793.29614,1634.22656,1.668
"brontës",40,14,121.05292,32.59141,1.667
"tragic",72,39,217.89525,90.79037,1.666
"perfect",119,76,360.13245,176.92482,1.662
"intense",41,15,124.07924,34.91937,1.661
"heart",102,63,308.68494,146.66136,1.657
"nazis",42,16,127.10557,37.24733,1.655
"gentileschi",29,6,87.76337,13.96775,1.648
"must-read",29,6,87.76337,13.96775,1.648
"humor",44,18,133.15820,41.90324,1.643
"nat",74,42,223.94789,97.77424,1.638
"charlotte",52,25,157.36879,58.19895,1.627
"birth",57,29,172.50041,67.51079,1.627
"turner",94,60,284.47437,139.67749,1.604
"tribute",53,27,160.39511,62.85487,1.599
"rod",80,49,242.10583,114.06995,1.598
"move",156,111,472.10638,258.40335,1.596
"fascinate",43,19,130.13188,44.23120,1.596
"release",44,20,133.15820,46.55916,1.591
"thrill",28,7,84.73705,16.29571,1.589
"escape",62,35,187.63202,81.47853,1.585
"must",130,91,393.42200,211.84419,1.582
"job",188,139,568.94873,323.58618,1.579
"isabel",37,15,111.97395,34.91937,1.571
"vincent",78,49,236.05319,114.06995,1.570
"enjoyable",109,75,329.86920,174.59686,1.565
"her",1363,1118,4124.87842,2602.65723,1.563
"month",76,48,230.00055,111.74199,1.559
"delight",28,8,84.73705,18.62366,1.557
"an",165,123,499.34329,286.33884,1.551
"such",364,290,1101.58154,675.10785,1.550
"thank",86,57,260.26376,132.69360,1.548
"strength",30,10,90.78969,23.27958,1.548
"tale",100,69,302.63229,160.62910,1.545
"ever",179,136,541.71179,316.60229,1.540
"mohammed",19,1,57.50014,2.32796,1.539
"experience",219,170,662.76471,395.75287,1.539
"kidnapping",33,13,99.86866,30.26345,1.534
"compelling",93,64,281.44803,148.98932,1.532
"perfectly",60,36,181.57938,83.80649,1.532
"illustrate",239,189,723.29120,439.98407,1.525
"intriguing",43,22,130.13188,51.21508,1.522
"devi",23,5,69.60543,11.63979,1.519
