Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"dont",287,20,668.12396,60.52646,4.785
"im",337,39,784.52185,118.02660,4.057
"dalai",157,10,365.48941,30.26323,3.573
"wasnt",144,8,335.22595,24.21058,3.504
"lama",148,10,344.53778,30.26323,3.413
"didnt",312,62,726.32294,187.63202,2.873
"isnt",89,3,207.18826,9.07897,2.816
"theres",112,11,260.73129,33.28955,2.706
"doesnt",119,13,277.02701,39.34220,2.706
"cant",94,8,218.82806,24.21058,2.567
"youre",99,10,230.46785,30.26323,2.537
"ok",96,13,223.48398,39.34220,2.322
"its",867,279,2018.33960,844.34412,2.243
"dd",102,21,237.45172,63.55278,2.063
"id",85,15,197.87643,45.39484,2.049
"couldnt",63,7,146.66136,21.18426,2.035
"cohen",65,8,151.31728,24.21058,2.023
"ive",140,37,325.91412,111.97395,2.009
"confusing",104,24,242.10764,72.63175,1.982
"lack",151,44,351.52167,133.15820,1.937
"tibet",64,10,148.98932,30.26323,1.911
"dick",53,6,123.38177,18.15794,1.891
"boring",108,29,251.41948,87.76337,1.872
"maybe",228,79,530.77441,239.07951,1.860
"warhol",106,29,246.76355,87.76337,1.847
"either",115,33,267.71518,99.86866,1.840
"digital",67,13,155.97319,39.34220,1.837
"wikipedia",55,8,128.03769,24.21058,1.836
"play",197,68,458.60773,205.78996,1.827
"pg",35,0,81.47853,0.00000,1.815
"kinda",63,12,146.66136,36.31588,1.809
"x",65,13,151.31728,39.34220,1.804
"basic",81,20,188.56461,60.52646,1.798
"decent",73,17,169.94093,51.44749,1.782
"problem",106,33,246.76355,99.86866,1.735
"review",416,171,968.43054,517.50122,1.730
"star",406,167,945.15100,505.39594,1.726
"may",225,87,523.79059,263.29010,1.717
"religion",48,8,111.74199,24.21058,1.705
"beat",187,71,435.32816,214.86893,1.700
"pekar",45,7,104.75811,21.18426,1.690
"why",288,118,670.45190,357.10611,1.685
"rating",84,25,195.54848,75.65807,1.683
"trotsky",79,23,183.90869,69.60543,1.674
"kaufmans",31,1,72.16670,3.02632,1.671
"tibetan",43,7,100.10220,21.18426,1.651
"bad",225,92,523.79059,278.42172,1.648
"kerouac",49,10,114.06995,30.26323,1.643
"edelweiss",34,3,79.15057,9.07897,1.642
"leonard",38,5,88.46241,15.13161,1.637
"dull",38,5,88.46241,15.13161,1.637
"skip",61,16,142.00545,48.42117,1.631
"musashi",29,1,67.51079,3.02632,1.626
"purpose",47,10,109.41403,30.26323,1.608
"movie",188,78,437.65613,236.05319,1.600
"chinese",34,4,79.15057,12.10529,1.598
"guess",127,49,295.65067,148.28983,1.594
"unfortunately",77,25,179.25278,75.65807,1.590
"basquiat",33,4,76.82262,12.10529,1.577
"philip",37,6,86.13445,18.15794,1.575
"article",45,10,104.75811,30.26323,1.572
"rather",205,89,477.23141,269.34274,1.563
"meh",28,2,65.18282,6.05265,1.558
"perhaps",113,44,263.05927,133.15820,1.557
"main",115,45,267.71518,136.18454,1.557
"rate",66,21,153.64523,63.55278,1.551
"malcolm",74,25,172.26889,75.65807,1.550
"name",180,78,419.03244,236.05319,1.544
"major",77,27,179.25278,81.71072,1.537
"speech",41,9,95.44628,27.23691,1.536
"thompson",35,6,81.47853,18.15794,1.536
"responsibility",25,1,58.19895,3.02632,1.536
"bland",25,1,58.19895,3.02632,1.536
"fort",23,0,53.54304,0.00000,1.535
"dialogue",138,58,321.25821,175.52673,1.529
"andy",128,53,297.97864,160.39511,1.528
"content",108,43,251.41948,130.13188,1.527
"mention",141,60,328.24210,181.57938,1.521
"chaney",42,10,97.77424,30.26323,1.518
"key",42,10,97.77424,30.26323,1.518
"jump",91,35,211.84419,105.92130,1.514
"jackson",22,0,51.21508,0.00000,1.512
"bore",43,11,100.10220,33.28955,1.501
"grade",35,7,81.47853,21.18426,1.498
"factual",33,6,76.82262,18.15794,1.496
"pop",64,22,148.98932,66.57910,1.495
"dnf",27,3,62.85487,9.07897,1.493
"writer",168,76,391.09695,230.00055,1.488
"quote",77,29,179.25278,87.76337,1.487
"section",121,52,281.68292,157.36879,1.483
"ginsberg",38,9,88.46241,27.23691,1.481
"celebrity",38,9,88.46241,27.23691,1.481
"half",88,35,204.86031,105.92130,1.480
"overview",113,48,263.05927,145.26350,1.480
"assume",34,7,79.15057,21.18426,1.478
"hes",32,6,74.49466,18.15794,1.477
"george",30,5,69.83875,15.13161,1.475
"appear",70,26,162.95706,78.68439,1.472
"einstein",47,14,109.41403,42.36852,1.471
"morgan",22,1,51.21508,3.02632,1.468
