Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"kill",207,2,307.19687,7.97162,3.771
"mother",288,10,427.40433,39.85810,3.771
"putin",320,20,474.89371,79.71621,3.199
"unfortunately",173,5,256.73941,19.92905,2.975
"force",188,9,279.00006,35.87230,2.789
"lack",258,19,382.88306,75.73040,2.748
"russian",205,13,304.22879,51.81554,2.663
"camp",196,12,290.87241,47.82973,2.644
"father",394,41,584.71289,163.41823,2.599
"khmer",138,5,204.79791,19.92905,2.541
"government",143,6,212.21812,23.91486,2.520
"rouge",132,5,195.89365,19.92905,2.467
"family",656,86,973.53210,342.77969,2.425
"die",245,23,363.59048,91.67365,2.419
"country",246,24,365.07452,95.65945,2.377
"why",487,62,722.72888,247.12025,2.370
"bad",377,45,559.48413,179.36148,2.361
"kirby",180,14,267.12772,55.80135,2.356
"he",4112,636,6102.38428,2534.97559,2.354
"then",668,92,991.34064,366.69458,2.338
"nazis",96,1,142.46811,3.98581,2.332
"either",189,16,280.48410,63.77297,2.323
"andré",112,4,166.21280,15.94324,2.296
"murder",136,8,201.82982,31.88648,2.289
"hold",206,20,305.71283,79.71621,2.258
"escape",157,12,232.99472,47.82973,2.253
"regime",84,0,124.65960,0.00000,2.247
"slave",150,11,222.60643,43.84391,2.243
"stan",192,18,284.93622,71.74459,2.241
"russia",204,20,302.74475,79.71621,2.241
"wrong",113,5,167.69684,19.92905,2.232
"fail",101,3,149.88832,11.95743,2.232
"christophe",214,22,317.58517,87.68783,2.225
"revolution",163,14,241.89899,55.80135,2.194
"war",610,90,905.26611,358.72296,2.191
"instead",244,28,362.10645,111.60269,2.184
"we",1070,171,1587.92578,681.57361,2.160
"maybe",314,41,465.98944,163.41823,2.149
"seem",723,112,1072.96301,446.41077,2.147
"fear",122,8,181.05322,31.88648,2.131
"lee",171,17,253.77132,67.75878,2.109
"disappointing",91,3,135.04790,11.95743,2.099
"concentration",84,2,124.65960,7.97162,2.081
"wife",162,16,240.41493,63.77297,2.079
"gein",284,38,421.46817,151.46080,2.074
"fight",245,31,363.59048,123.56013,2.074
"no",930,154,1380.15979,613.81482,2.074
"poor",111,7,164.72876,27.90067,2.070
"jewish",121,9,179.56918,35.87230,2.058
"horror",175,19,259.70749,75.73040,2.047
"nor",98,5,145.43620,19.92905,2.047
"hostage",213,26,316.10114,103.63107,2.043
"perhaps",202,24,299.77664,95.65945,2.043
"drug",103,6,152.85641,23.91486,2.041
"nazi",124,10,184.02132,39.85810,2.031
"month",167,18,247.83516,71.74459,2.025
"malcolm",128,11,189.95749,43.84391,2.016
"try",544,88,807.31927,350.75131,2.013
"suppose",133,12,197.37770,47.82973,2.012
"later",187,22,277.51602,87.68783,2.011
"violence",122,10,181.05322,39.85810,2.010
"leave",497,80,737.56927,318.86484,2.000
"room",142,14,210.73409,55.80135,1.994
"torture",67,0,99.43087,0.00000,1.994
"doctor",87,4,129.11172,15.94324,1.976
"mention",236,33,350.23410,131.53175,1.945
"difficult",277,41,411.07986,163.41823,1.940
"over",582,100,863.71295,398.58105,1.933
"victim",73,2,108.33513,7.97162,1.930
"ukraine",83,4,123.17555,15.94324,1.925
"abuse",98,7,145.43620,27.90067,1.919
"money",92,6,136.53194,23.91486,1.909
"boring",143,16,212.21812,63.77297,1.906
"against",203,28,301.26068,111.60269,1.896
"god",96,7,142.46811,27.90067,1.896
"doesnt",131,14,194.40961,55.80135,1.890
"haft",75,3,111.30322,11.95743,1.887
"army",85,5,126.14364,19.92905,1.886
"problem",176,23,261.19153,91.67365,1.884
"action",181,24,268.61176,95.65945,1.884
"remain",115,11,170.66493,43.84391,1.882
"often",342,56,507.54263,223.20538,1.880
"joel",69,2,102.39896,7.97162,1.875
"power",220,32,326.48941,127.54594,1.874
"ultimately",124,13,184.02132,51.81554,1.871
"confusing",144,17,213.70216,67.75878,1.870
"rather",313,51,464.50540,203.27634,1.861
"turner",218,32,323.52133,127.54594,1.861
"rasputin",123,13,182.53726,51.81554,1.861
"jews",58,0,86.07449,0.00000,1.861
"happen",465,82,690.07990,326.83646,1.851
"result",117,12,173.63301,47.82973,1.851
"run",112,11,166.21280,43.84391,1.851
"terrible",102,9,151.37238,35.87230,1.850
"they",1605,312,2381.88867,1243.57288,1.847
"hate",126,14,186.98940,55.80135,1.842
"body",106,10,157.30853,39.85810,1.840
"rebellion",101,9,149.88832,35.87230,1.839
"message",96,8,142.46811,31.88648,1.838
"religion",91,7,135.04790,27.90067,1.838
